

CACHE_LINE_WIDTH: 512 bits, SET_COUNT: 4, ASSOCIATIVITY: 4-way
Test                          | Branch Acc |       CPI |  Pipe CPI |   I$ Hit |   D$ Hit
snippy-lw                     |     32.52% |  401.7591 |    1.0401 |   95.25% |   86.39%
snippy-lwu                    |     35.46% |  361.9374 |    1.0370 |   96.84% |   86.65%
snippy-mul                    |     27.97% |  248.1604 |    1.0933 |   95.37% |   96.76%
snippy-mulh                   |     35.29% |  158.3607 |    1.0632 |   96.64% |   98.96%
snippy-mulhsu                 |     48.89% |  175.0272 |    1.0492 |   95.76% |   98.72%
snippy-mulhu                  |     34.23% |  188.0514 |    1.0734 |   95.89% |   98.10%
snippy-mulw                   |     29.55% |  189.8714 |    1.0675 |   96.75% |   98.48%
snippy-or                     |     36.29% |  187.1419 |    1.0655 |   96.20% |   95.18%
snippy-ori                    |     36.72% |  194.4872 |    1.0743 |   95.76% |   90.97%
snippy-rem                    |     32.35% |  214.2218 |    1.0705 |   95.86% |   97.40%
snippy-remu                   |     37.41% |  180.7567 |    1.0647 |   96.53% |   97.45%
snippy-remuw                  |     27.42% |  214.3711 |    1.0778 |   95.89% |   97.46%
snippy-remw                   |     43.37% |  184.3067 |    1.0520 |   96.23% |   97.75%
snippy-sb                     |     22.22% |  554.1322 |    1.0536 |   95.48% |   90.75%
snippy-sd                     |     35.14% |  505.8377 |    1.0404 |   96.04% |   90.01%
snippy-sh                     |     28.70% |  542.7495 |    1.0482 |   94.91% |   87.99%
snippy-simple                 |     36.24% |  230.3381 |    1.0719 |   96.07% |   93.36%
snippy-sll                    |     32.62% |  229.9177 |    1.0694 |   94.40% |   94.81%
snippy-slli                   |     40.24% |  169.0290 |    1.0617 |   95.44% |   94.51%
snippy-slliw                  |     27.64% |  207.8642 |    1.0815 |   95.83% |   90.10%
snippy-sllw                   |     36.84% |  183.0559 |    1.0654 |   96.65% |   92.45%
snippy-slt                    |     40.60% |  191.5273 |    1.0602 |   95.35% |   95.46%
snippy-slti                   |     45.68% |  147.6841 |    1.0521 |   96.62% |   93.70%
snippy-sltiu                  |     29.79% |  215.5474 |    1.0748 |   94.74% |   94.54%
snippy-sltu                   |     44.10% |  178.5355 |    1.0499 |   95.67% |   95.44%
snippy-sra                    |     32.61% |  226.2233 |    1.0744 |   95.19% |   89.19%
snippy-srai                   |     33.33% |  178.2175 |    1.0743 |   95.90% |   95.26%
snippy-sraiw                  |     33.06% |  170.2167 |    1.0707 |   96.51% |   91.95%
snippy-sraw                   |     36.84% |  175.8353 |    1.0609 |   95.75% |   91.55%
snippy-srl                    |     30.77% |  178.1345 |    1.0668 |   96.61% |   93.96%
snippy-srli                   |     36.69% |  166.9858 |    1.0656 |   96.05% |   95.29%
snippy-srliw                  |     34.09% |  151.6567 |    1.0622 |   96.81% |   95.82%
snippy-srlw                   |     36.48% |  167.6579 |    1.0746 |   96.36% |   89.69%
snippy-sub                    |     37.65% |  212.3261 |    1.0611 |   95.10% |   94.41%
snippy-subw                   |     28.81% |  201.4330 |    1.0725 |   95.52% |   93.67%
snippy-sw                     |     31.25% |  571.3991 |    1.0428 |   95.76% |   83.16%
snippy-xor                    |     37.58% |  153.2886 |    1.0598 |   96.40% |   94.61%
snippy-xori                   |     34.43% |  176.0595 |    1.0769 |   95.91% |   94.24%
