PC: 0x0000000080000428, INSTR: 0x6eff8f93, REG x31: 0x00030b5c594d56ef
PC: 0x000000008000042c, INSTR: 0x00cf9f93, REG x31: 0x30b5c594d56ef000
PC: 0x0000000080000430, INSTR: 0x3d3f8f93, REG x31: 0x30b5c594d56ef3d3
PC: 0x0000000080000434, INSTR: 0x00400593, REG x11: 0x0000000000000004
PC: 0x0000000080000438, INSTR: 0x00000513, REG x10: 0x0000000000000000
PC: 0x000000008000043c, INSTR: 0x0040006f
PC: 0x0000000080000440, INSTR: 0xfff58593, REG x11: 0x0000000000000003
PC: 0x0000000080000444, INSTR: 0x05e69e63
PC: 0x00000000800004a0, INSTR: 0x08003eb7, REG x29: 0x0000000008003000
PC: 0x00000000800004a4, INSTR: 0x004e9e93, REG x29: 0x0000000080030000
PC: 0x00000000800004a8, INSTR: 0xeebe8e93, REG x29: 0x000000008002feeb
PC: 0x00000000800004ac, INSTR: 0x1f2ea0a3, MEM 0x00000000800300cc: 0x000000008020cf46
PC: 0x00000000800004b0, INSTR: 0x00400b13, REG x22: 0x0000000000000004
PC: 0x00000000800004b4, INSTR: 0x00000f13, REG x30: 0x0000000000000000
PC: 0x00000000800004b8, INSTR: 0x012b1463
PC: 0x00000000800004c0, INSTR: 0x004734b3, REG x9: 0x0000000000000001
PC: 0x00000000800004c4, INSTR: 0x00297cb3, REG x25: 0x000000008000cf00
PC: 0x00000000800004c8, INSTR: 0xfffb0b13, REG x22: 0x0000000000000003
PC: 0x00000000800004cc, INSTR: 0x00a59463
PC: 0x00000000800004d4, INSTR: 0x01f11c3b, REG x24: 0xfffffffff8000000
PC: 0x00000000800004d8, INSTR: 0x40026c37, REG x24: 0x0000000040026000
PC: 0x00000000800004dc, INSTR: 0x6d1c0c1b, REG x24: 0x00000000400266d1
PC: 0x00000000800004e0, INSTR: 0x001c1c13, REG x24: 0x000000008004cda2
PC: 0x00000000800004e4, INSTR: 0xe5ac6183, REG x3: 0x0000000000000000, MEM 0x000000008004cbfc
PC: 0x00000000800004e8, INSTR: 0xfdeb1ce3
PC: 0x00000000800004c0, INSTR: 0x004734b3, REG x9: 0x0000000000000001
PC: 0x00000000800004c4, INSTR: 0x00297cb3, REG x25: 0x000000008000cf00
PC: 0x00000000800004c8, INSTR: 0xfffb0b13, REG x22: 0x0000000000000002
PC: 0x00000000800004cc, INSTR: 0x00a59463
PC: 0x00000000800004d4, INSTR: 0x01f11c3b, REG x24: 0xfffffffff8000000
PC: 0x00000000800004d8, INSTR: 0x40026c37, REG x24: 0x0000000040026000
PC: 0x00000000800004dc, INSTR: 0x6d1c0c1b, REG x24: 0x00000000400266d1
PC: 0x00000000800004e0, INSTR: 0x001c1c13, REG x24: 0x000000008004cda2
PC: 0x00000000800004e4, INSTR: 0xe5ac6183, REG x3: 0x0000000000000000, MEM 0x000000008004cbfc
PC: 0x00000000800004e8, INSTR: 0xfdeb1ce3
PC: 0x00000000800004c0, INSTR: 0x004734b3, REG x9: 0x0000000000000001
PC: 0x00000000800004c4, INSTR: 0x00297cb3, REG x25: 0x000000008000cf00
