PC: 0x0000000080000178, INSTR: 0x47f4849b, REG x9: 0xfffffffffff4747f
PC: 0x000000008000017c, INSTR: 0x00c49493, REG x9: 0xffffffff4747f000
PC: 0x0000000080000180, INSTR: 0x72148493, REG x9: 0xffffffff4747f721
PC: 0x0000000080000184, INSTR: 0x00d49493, REG x9: 0xffffe8e8fee42000
PC: 0x0000000080000188, INSTR: 0xf2348493, REG x9: 0xffffe8e8fee41f23
PC: 0x000000008000018c, INSTR: 0x00c49493, REG x9: 0xfe8e8fee41f23000
PC: 0x0000000080000190, INSTR: 0xd3748493, REG x9: 0xfe8e8fee41f22d37
PC: 0x0000000080000194, INSTR: 0xff7d7537, REG x10: 0xffffffffff7d7000
PC: 0x0000000080000198, INSTR: 0x8b35051b, REG x10: 0xffffffffff7d68b3
PC: 0x000000008000019c, INSTR: 0x00c51513, REG x10: 0xfffffff7d68b3000
PC: 0x00000000800001a0, INSTR: 0x64350513, REG x10: 0xfffffff7d68b3643
PC: 0x00000000800001a4, INSTR: 0x00d51513, REG x10: 0xfffefad166c86000
PC: 0x00000000800001a8, INSTR: 0xca550513, REG x10: 0xfffefad166c85ca5
PC: 0x00000000800001ac, INSTR: 0x00c51513, REG x10: 0xefad166c85ca5000
PC: 0x00000000800001b0, INSTR: 0xce850513, REG x10: 0xefad166c85ca4ce8
PC: 0x00000000800001b4, INSTR: 0xffb7c5b7, REG x11: 0xffffffffffb7c000
PC: 0x00000000800001b8, INSTR: 0xf095859b, REG x11: 0xffffffffffb7bf09
PC: 0x00000000800001bc, INSTR: 0x00e59593, REG x11: 0xffffffedefc24000
PC: 0x00000000800001c0, INSTR: 0x5a958593, REG x11: 0xffffffedefc245a9
PC: 0x00000000800001c4, INSTR: 0x00d59593, REG x11: 0xfffdbdf848b52000
PC: 0x00000000800001c8, INSTR: 0x3c758593, REG x11: 0xfffdbdf848b523c7
PC: 0x00000000800001cc, INSTR: 0x00c59593, REG x11: 0xdbdf848b523c7000
PC: 0x00000000800001d0, INSTR: 0x9d958593, REG x11: 0xdbdf848b523c69d9
PC: 0x00000000800001d4, INSTR: 0xf4f4f637, REG x12: 0xfffffffff4f4f000
PC: 0x00000000800001d8, INSTR: 0x00761613, REG x12: 0xfffffffa7a780000
PC: 0x00000000800001dc, INSTR: 0x98560613, REG x12: 0xfffffffa7a77f985
PC: 0x00000000800001e0, INSTR: 0x00e61613, REG x12: 0xfffe9e9dfe614000
PC: 0x00000000800001e4, INSTR: 0xe7360613, REG x12: 0xfffe9e9dfe613e73
PC: 0x00000000800001e8, INSTR: 0x00c61613, REG x12: 0xe9e9dfe613e73000
PC: 0x00000000800001ec, INSTR: 0xccc60613, REG x12: 0xe9e9dfe613e72ccc
PC: 0x00000000800001f0, INSTR: 0x008ec6b7, REG x13: 0x00000000008ec000
PC: 0x00000000800001f4, INSTR: 0x90b6869b, REG x13: 0x00000000008eb90b
PC: 0x00000000800001f8, INSTR: 0x00c69693, REG x13: 0x00000008eb90b000
PC: 0x00000000800001fc, INSTR: 0xad968693, REG x13: 0x00000008eb90aad9
PC: 0x0000000080000200, INSTR: 0x00c69693, REG x13: 0x00008eb90aad9000
PC: 0x0000000080000204, INSTR: 0x97168693, REG x13: 0x00008eb90aad8971
PC: 0x0000000080000208, INSTR: 0x00e69693, REG x13: 0x23ae42ab625c4000
PC: 0x000000008000020c, INSTR: 0xcbf68693, REG x13: 0x23ae42ab625c3cbf
PC: 0x0000000080000210, INSTR: 0xfc8ef737, REG x14: 0xfffffffffc8ef000
PC: 0x0000000080000214, INSTR: 0x07d7071b, REG x14: 0xfffffffffc8ef07d
PC: 0x0000000080000218, INSTR: 0x00d71713, REG x14: 0xffffff91de0fa000
PC: 0x000000008000021c, INSTR: 0xad370713, REG x14: 0xffffff91de0f9ad3
PC: 0x0000000080000220, INSTR: 0x00c71713, REG x14: 0xfff91de0f9ad3000
PC: 0x0000000080000224, INSTR: 0x8c970713, REG x14: 0xfff91de0f9ad28c9
PC: 0x0000000080000228, INSTR: 0x00c71713, REG x14: 0x91de0f9ad28c9000
PC: 0x000000008000022c, INSTR: 0x10770713, REG x14: 0x91de0f9ad28c9107
PC: 0x0000000080000230, INSTR: 0x008ab7b7, REG x15: 0x00000000008ab000
PC: 0x0000000080000234, INSTR: 0x55f7879b, REG x15: 0x00000000008ab55f
PC: 0x0000000080000238, INSTR: 0x00c79793, REG x15: 0x00000008ab55f000
PC: 0x000000008000023c, INSTR: 0x34778793, REG x15: 0x00000008ab55f347
PC: 0x0000000080000240, INSTR: 0x00c79793, REG x15: 0x00008ab55f347000
PC: 0x0000000080000244, INSTR: 0x6b378793, REG x15: 0x00008ab55f3476b3
PC: 0x0000000080000248, INSTR: 0x00e79793, REG x15: 0x22ad57cd1dacc000
PC: 0x000000008000024c, INSTR: 0x0ac78793, REG x15: 0x22ad57cd1dacc0ac
PC: 0x0000000080000250, INSTR: 0x21f17837, REG x16: 0x0000000021f17000
PC: 0x0000000080000254, INSTR: 0x8a78081b, REG x16: 0x0000000021f168a7
PC: 0x0000000080000258, INSTR: 0x01081813, REG x16: 0x000021f168a70000
PC: 0x000000008000025c, INSTR: 0x5f580813, REG x16: 0x000021f168a705f5
PC: 0x0000000080000260, INSTR: 0x00c81813, REG x16: 0x021f168a705f5000
PC: 0x0000000080000264, INSTR: 0x63b80813, REG x16: 0x021f168a705f563b
PC: 0x0000000080000268, INSTR: 0x9f6218b7, REG x17: 0xffffffff9f621000
PC: 0x000000008000026c, INSTR: 0x00689893, REG x17: 0xffffffe7d8840000
PC: 0x0000000080000270, INSTR: 0x4c988893, REG x17: 0xffffffe7d88404c9
PC: 0x0000000080000274, INSTR: 0x00e89893, REG x17: 0xfff9f62101324000
PC: 0x0000000080000278, INSTR: 0x2b588893, REG x17: 0xfff9f621013242b5
PC: 0x000000008000027c, INSTR: 0x00c89893, REG x17: 0x9f621013242b5000
PC: 0x0000000080000280, INSTR: 0x7fa88893, REG x17: 0x9f621013242b57fa
PC: 0x0000000080000284, INSTR: 0x06f89937, REG x18: 0x0000000006f89000
PC: 0x0000000080000288, INSTR: 0x5bb9091b, REG x18: 0x0000000006f895bb
PC: 0x000000008000028c, INSTR: 0x00c91913, REG x18: 0x0000006f895bb000
PC: 0x0000000080000290, INSTR: 0x50990913, REG x18: 0x0000006f895bb509
PC: 0x0000000080000294, INSTR: 0x00c91913, REG x18: 0x0006f895bb509000
PC: 0x0000000080000298, INSTR: 0xc2590913, REG x18: 0x0006f895bb508c25
PC: 0x000000008000029c, INSTR: 0x00c91913, REG x18: 0x6f895bb508c25000
PC: 0x00000000800002a0, INSTR: 0x77390913, REG x18: 0x6f895bb508c25773
PC: 0x00000000800002a4, INSTR: 0x000db9b7, REG x19: 0x00000000000db000
PC: 0x00000000800002a8, INSTR: 0xa6b9899b, REG x19: 0x00000000000daa6b
PC: 0x00000000800002ac, INSTR: 0x00c99993, REG x19: 0x00000000daa6b000
PC: 0x00000000800002b0, INSTR: 0xe4f98993, REG x19: 0x00000000daa6ae4f
PC: 0x00000000800002b4, INSTR: 0x00f99993, REG x19: 0x00006d5357278000
PC: 0x00000000800002b8, INSTR: 0x9dd98993, REG x19: 0x00006d53572779dd
PC: 0x00000000800002bc, INSTR: 0x00d99993, REG x19: 0x0daa6ae4ef3ba000
PC: 0x00000000800002c0, INSTR: 0x30698993, REG x19: 0x0daa6ae4ef3ba306
PC: 0x00000000800002c4, INSTR: 0xfda18a37, REG x20: 0xfffffffffda18000
PC: 0x00000000800002c8, INSTR: 0x95da0a1b, REG x20: 0xfffffffffda1795d
PC: 0x00000000800002cc, INSTR: 0x00ca1a13, REG x20: 0xffffffda1795d000
PC: 0x00000000800002d0, INSTR: 0x267a0a13, REG x20: 0xffffffda1795d267
PC: 0x00000000800002d4, INSTR: 0x00ca1a13, REG x20: 0xfffda1795d267000
PC: 0x00000000800002d8, INSTR: 0xc63a0a13, REG x20: 0xfffda1795d266c63
PC: 0x00000000800002dc, INSTR: 0x00ca1a13, REG x20: 0xda1795d266c63000
PC: 0x00000000800002e0, INSTR: 0xbf7a0a13, REG x20: 0xda1795d266c62bf7
PC: 0x00000000800002e4, INSTR: 0x01aa5ab7, REG x21: 0x0000000001aa5000
PC: 0x00000000800002e8, INSTR: 0x1bda8a9b, REG x21: 0x0000000001aa51bd
PC: 0x00000000800002ec, INSTR: 0x00ca9a93, REG x21: 0x0000001aa51bd000
PC: 0x00000000800002f0, INSTR: 0x8bba8a93, REG x21: 0x0000001aa51bc8bb
PC: 0x00000000800002f4, INSTR: 0x00ea9a93, REG x21: 0x0006a946f22ec000
PC: 0x00000000800002f8, INSTR: 0x877a8a93, REG x21: 0x0006a946f22eb877
PC: 0x00000000800002fc, INSTR: 0x00ca9a93, REG x21: 0x6a946f22eb877000
PC: 0x0000000080000300, INSTR: 0x7cba8a93, REG x21: 0x6a946f22eb8777cb
PC: 0x0000000080000304, INSTR: 0x043b5b37, REG x22: 0x00000000043b5000
PC: 0x0000000080000308, INSTR: 0x97db0b1b, REG x22: 0x00000000043b497d
PC: 0x000000008000030c, INSTR: 0x00cb1b13, REG x22: 0x00000043b497d000
PC: 0x0000000080000310, INSTR: 0x47fb0b13, REG x22: 0x00000043b497d47f
PC: 0x0000000080000314, INSTR: 0x00cb1b13, REG x22: 0x00043b497d47f000
PC: 0x0000000080000318, INSTR: 0x827b0b13, REG x22: 0x00043b497d47e827
PC: 0x000000008000031c, INSTR: 0x00cb1b13, REG x22: 0x43b497d47e827000
PC: 0x0000000080000320, INSTR: 0xb68b0b13, REG x22: 0x43b497d47e826b68
PC: 0x0000000080000324, INSTR: 0xffb88bb7, REG x23: 0xffffffffffb88000
PC: 0x0000000080000328, INSTR: 0x6f5b8b9b, REG x23: 0xffffffffffb886f5
PC: 0x000000008000032c, INSTR: 0x00fb9b93, REG x23: 0xffffffdc437a8000
PC: 0x0000000080000330, INSTR: 0x3bbb8b93, REG x23: 0xffffffdc437a83bb
PC: 0x0000000080000334, INSTR: 0x00cb9b93, REG x23: 0xfffdc437a83bb000
PC: 0x0000000080000338, INSTR: 0xde1b8b93, REG x23: 0xfffdc437a83bade1
PC: 0x000000008000033c, INSTR: 0x00db9b93, REG x23: 0xb886f50775bc2000
PC: 0x0000000080000340, INSTR: 0xd06b8b93, REG x23: 0xb886f50775bc1d06
PC: 0x0000000080000344, INSTR: 0xff72dc37, REG x24: 0xffffffffff72d000
PC: 0x0000000080000348, INSTR: 0x33fc0c1b, REG x24: 0xffffffffff72d33f
PC: 0x000000008000034c, INSTR: 0x00dc1c13, REG x24: 0xffffffee5a67e000
PC: 0x0000000080000350, INSTR: 0x527c0c13, REG x24: 0xffffffee5a67e527
PC: 0x0000000080000354, INSTR: 0x00ec1c13, REG x24: 0xfffb9699f949c000
PC: 0x0000000080000358, INSTR: 0xd37c0c13, REG x24: 0xfffb9699f949bd37
PC: 0x000000008000035c, INSTR: 0x00cc1c13, REG x24: 0xb9699f949bd37000
PC: 0x0000000080000360, INSTR: 0xa17c0c13, REG x24: 0xb9699f949bd36a17
PC: 0x0000000080000364, INSTR: 0xf9d6fcb7, REG x25: 0xfffffffff9d6f000
PC: 0x0000000080000368, INSTR: 0xf7fc8c9b, REG x25: 0xfffffffff9d6ef7f
PC: 0x000000008000036c, INSTR: 0x00cc9c93, REG x25: 0xffffff9d6ef7f000
PC: 0x0000000080000370, INSTR: 0x43dc8c93, REG x25: 0xffffff9d6ef7f43d
PC: 0x0000000080000374, INSTR: 0x00cc9c93, REG x25: 0xfff9d6ef7f43d000
PC: 0x0000000080000378, INSTR: 0xe07c8c93, REG x25: 0xfff9d6ef7f43ce07
PC: 0x000000008000037c, INSTR: 0x00cc9c93, REG x25: 0x9d6ef7f43ce07000
PC: 0x0000000080000380, INSTR: 0x242c8c93, REG x25: 0x9d6ef7f43ce07242
PC: 0x0000000080000384, INSTR: 0xfd733d37, REG x26: 0xfffffffffd733000
PC: 0x0000000080000388, INSTR: 0x99fd0d1b, REG x26: 0xfffffffffd73299f
PC: 0x000000008000038c, INSTR: 0x00cd1d13, REG x26: 0xffffffd73299f000
PC: 0x0000000080000390, INSTR: 0x257d0d13, REG x26: 0xffffffd73299f257
PC: 0x0000000080000394, INSTR: 0x00cd1d13, REG x26: 0xfffd73299f257000
PC: 0x0000000080000398, INSTR: 0x18dd0d13, REG x26: 0xfffd73299f25718d
PC: 0x000000008000039c, INSTR: 0x00dd1d13, REG x26: 0xae6533e4ae31a000
PC: 0x00000000800003a0, INSTR: 0x955d0d13, REG x26: 0xae6533e4ae319955
PC: 0x00000000800003a4, INSTR: 0xff9bbdb7, REG x27: 0xffffffffff9bb000
PC: 0x00000000800003a8, INSTR: 0x6b5d8d9b, REG x27: 0xffffffffff9bb6b5
PC: 0x00000000800003ac, INSTR: 0x00dd9d93, REG x27: 0xfffffff376d6a000
PC: 0x00000000800003b0, INSTR: 0x221d8d93, REG x27: 0xfffffff376d6a221
PC: 0x00000000800003b4, INSTR: 0x00dd9d93, REG x27: 0xfffe6edad4442000
PC: 0x00000000800003b8, INSTR: 0x9f3d8d93, REG x27: 0xfffe6edad44419f3
PC: 0x00000000800003bc, INSTR: 0x00ed9d93, REG x27: 0x9bb6b511067cc000
PC: 0x00000000800003c0, INSTR: 0x756d8d93, REG x27: 0x9bb6b511067cc756
PC: 0x00000000800003c4, INSTR: 0xf589ae37, REG x28: 0xfffffffff589a000
PC: 0x00000000800003c8, INSTR: 0x8d1e0e1b, REG x28: 0xfffffffff58998d1
PC: 0x00000000800003cc, INSTR: 0x00de1e13, REG x28: 0xfffffeb1331a2000
PC: 0x00000000800003d0, INSTR: 0x371e0e13, REG x28: 0xfffffeb1331a2371
PC: 0x00000000800003d4, INSTR: 0x010e1e13, REG x28: 0xfeb1331a23710000
PC: 0x00000000800003d8, INSTR: 0x191e0e13, REG x28: 0xfeb1331a23710191
PC: 0x00000000800003dc, INSTR: 0x006e1e13, REG x28: 0xac4cc688dc406440
PC: 0x00000000800003e0, INSTR: 0x006aeeb7, REG x29: 0x00000000006ae000
PC: 0x00000000800003e4, INSTR: 0x2ffe8e9b, REG x29: 0x00000000006ae2ff
PC: 0x00000000800003e8, INSTR: 0x00ce9e93, REG x29: 0x00000006ae2ff000
PC: 0x00000000800003ec, INSTR: 0xe27e8e93, REG x29: 0x00000006ae2fee27
PC: 0x00000000800003f0, INSTR: 0x00ee9e93, REG x29: 0x0001ab8bfb89c000
PC: 0x00000000800003f4, INSTR: 0x213e8e93, REG x29: 0x0001ab8bfb89c213
PC: 0x00000000800003f8, INSTR: 0x00de9e93, REG x29: 0x35717f7138426000
PC: 0x00000000800003fc, INSTR: 0xc5be8e93, REG x29: 0x35717f7138425c5b
PC: 0x0000000080000400, INSTR: 0xa7afbf37, REG x30: 0xffffffffa7afb000
PC: 0x0000000080000404, INSTR: 0x002f1f13, REG x30: 0xfffffffe9ebec000
PC: 0x0000000080000408, INSTR: 0x903f0f13, REG x30: 0xfffffffe9ebeb903
PC: 0x000000008000040c, INSTR: 0x00df1f13, REG x30: 0xffffd3d7d7206000
PC: 0x0000000080000410, INSTR: 0x7e9f0f13, REG x30: 0xffffd3d7d72067e9
PC: 0x0000000080000414, INSTR: 0x011f1f13, REG x30: 0xa7afae40cfd20000
PC: 0x0000000080000418, INSTR: 0xd05f0f13, REG x30: 0xa7afae40cfd1fd05
PC: 0x000000008000041c, INSTR: 0x00a75fb7, REG x31: 0x0000000000a75000
PC: 0x0000000080000420, INSTR: 0xe6ff8f9b, REG x31: 0x0000000000a74e6f
PC: 0x0000000080000424, INSTR: 0x00cf9f93, REG x31: 0x0000000a74e6f000
PC: 0x0000000080000428, INSTR: 0x397f8f93, REG x31: 0x0000000a74e6f397
PC: 0x000000008000042c, INSTR: 0x00ef9f93, REG x31: 0x00029d39bce5c000
PC: 0x0000000080000430, INSTR: 0xd5df8f93, REG x31: 0x00029d39bce5bd5d
PC: 0x0000000080000434, INSTR: 0x00df9f93, REG x31: 0x53a7379cb7aba000
PC: 0x0000000080000438, INSTR: 0xbc2f8f93, REG x31: 0x53a7379cb7ab9bc2
PC: 0x000000008000043c, INSTR: 0x7a443e93, REG x29: 0x0000000000000000
PC: 0x0000000080000440, INSTR: 0x00080e37, REG x28: 0x0000000000080000
PC: 0x0000000080000444, INSTR: 0x047e0e1b, REG x28: 0x0000000000080047
PC: 0x0000000080000448, INSTR: 0x00ce1e13, REG x28: 0x0000000080047000
PC: 0x000000008000044c, INSTR: 0x015e0e13, REG x28: 0x0000000080047015
PC: 0x0000000080000450, INSTR: 0x2f7e5b03, REG x22: 0x0000000000000000, MEM 0x000000008004730c
PC: 0x0000000080000454, INSTR: 0x00080337, REG x6: 0x0000000000080000
PC: 0x0000000080000458, INSTR: 0x04b3031b, REG x6: 0x000000000008004b
PC: 0x000000008000045c, INSTR: 0x00c31313, REG x6: 0x000000008004b000
PC: 0x0000000080000460, INSTR: 0x44d30313, REG x6: 0x000000008004b44d
PC: 0x0000000080000464, INSTR: 0x51332e83, REG x29: 0x0000000000000000, MEM 0x000000008004b960
PC: 0x0000000080000468, INSTR: 0x406dd89b, REG x17: 0x000000000019f31d
PC: 0x000000008000046c, INSTR: 0x40d6db1b, REG x22: 0x00000000000312e1
PC: 0x0000000080000470, INSTR: 0x457cc593, REG x11: 0x9d6ef7f43ce07615
PC: 0x0000000080000474, INSTR: 0x00400d13, REG x26: 0x0000000000000004
PC: 0x0000000080000478, INSTR: 0x00000913, REG x18: 0x0000000000000000
PC: 0x000000008000047c, INSTR: 0x0040006f
PC: 0x0000000080000480, INSTR: 0x0072b333, REG x6: 0x0000000000000001
PC: 0x0000000080000484, INSTR: 0x400bda9b, REG x21: 0x0000000075bc1d06
PC: 0x0000000080000488, INSTR: 0x90af6b13, REG x22: 0xfffffffffffffd0f
PC: 0x000000008000048c, INSTR: 0x418b5a9b, REG x21: 0xffffffffffffffff
PC: 0x0000000080000490, INSTR: 0xdd0db313, REG x6: 0x0000000000000001
PC: 0x0000000080000494, INSTR: 0x01332533, REG x10: 0x0000000000000001
PC: 0x0000000080000498, INSTR: 0x0144d4b3, REG x9: 0x00000000000001fd
PC: 0x000000008000049c, INSTR: 0x401d531b, REG x6: 0x0000000000000002
PC: 0x00000000800004a0, INSTR: 0x40a9559b, REG x11: 0x0000000000000000
PC: 0x00000000800004a4, INSTR: 0x00816c33, REG x24: 0x8b2ae0b0c1d6ff05
PC: 0x00000000800004a8, INSTR: 0xfffd0d13, REG x26: 0x0000000000000003
PC: 0x00000000800004ac, INSTR: 0xfd2d1ae3
PC: 0x0000000080000480, INSTR: 0x0072b333, REG x6: 0x0000000000000001
PC: 0x0000000080000484, INSTR: 0x400bda9b, REG x21: 0x0000000075bc1d06
PC: 0x0000000080000488, INSTR: 0x90af6b13, REG x22: 0xfffffffffffffd0f
PC: 0x000000008000048c, INSTR: 0x418b5a9b, REG x21: 0xffffffffffffffff
PC: 0x0000000080000490, INSTR: 0xdd0db313, REG x6: 0x0000000000000001
PC: 0x0000000080000494, INSTR: 0x01332533, REG x10: 0x0000000000000001
PC: 0x0000000080000498, INSTR: 0x0144d4b3, REG x9: 0x0000000000000000
PC: 0x000000008000049c, INSTR: 0x401d531b, REG x6: 0x0000000000000001
