PC: 0x0000000080000194, INSTR: 0x00084537, REG x10: 0x0000000000084000
PC: 0x0000000080000198, INSTR: 0xda15051b, REG x10: 0x0000000000083da1
PC: 0x000000008000019c, INSTR: 0x00d51513, REG x10: 0x0000000107b42000
PC: 0x00000000800001a0, INSTR: 0x16b50513, REG x10: 0x0000000107b4216b
PC: 0x00000000800001a4, INSTR: 0x00d51513, REG x10: 0x000020f6842d6000
PC: 0x00000000800001a8, INSTR: 0x0e550513, REG x10: 0x000020f6842d60e5
PC: 0x00000000800001ac, INSTR: 0x01151513, REG x10: 0x41ed085ac1ca0000
PC: 0x00000000800001b0, INSTR: 0xd2150513, REG x10: 0x41ed085ac1c9fd21
PC: 0x00000000800001b4, INSTR: 0xfff355b7, REG x11: 0xfffffffffff35000
PC: 0x00000000800001b8, INSTR: 0x5f95859b, REG x11: 0xfffffffffff355f9
PC: 0x00000000800001bc, INSTR: 0x01059593, REG x11: 0xfffffff355f90000
PC: 0x00000000800001c0, INSTR: 0xe3758593, REG x11: 0xfffffff355f8fe37
PC: 0x00000000800001c4, INSTR: 0x00c59593, REG x11: 0xffff355f8fe37000
PC: 0x00000000800001c8, INSTR: 0xc7b58593, REG x11: 0xffff355f8fe36c7b
PC: 0x00000000800001cc, INSTR: 0x00c59593, REG x11: 0xf355f8fe36c7b000
PC: 0x00000000800001d0, INSTR: 0xc8758593, REG x11: 0xf355f8fe36c7ac87
PC: 0x00000000800001d4, INSTR: 0xffa93637, REG x12: 0xffffffffffa93000
PC: 0x00000000800001d8, INSTR: 0xbc96061b, REG x12: 0xffffffffffa92bc9
PC: 0x00000000800001dc, INSTR: 0x00e61613, REG x12: 0xffffffea4af24000
PC: 0x00000000800001e0, INSTR: 0x54960613, REG x12: 0xffffffea4af24549
PC: 0x00000000800001e4, INSTR: 0x00e61613, REG x12: 0xfffa92bc91524000
PC: 0x00000000800001e8, INSTR: 0x3fb60613, REG x12: 0xfffa92bc915243fb
PC: 0x00000000800001ec, INSTR: 0x00c61613, REG x12: 0xa92bc915243fb000
PC: 0x00000000800001f0, INSTR: 0xb6d60613, REG x12: 0xa92bc915243fab6d
