PC: 0x0000000080000264, INSTR: 0xfe6858b7, REG x17: 0xfffffffffe685000
PC: 0x0000000080000268, INSTR: 0xbd38889b, REG x17: 0xfffffffffe684bd3
PC: 0x000000008000026c, INSTR: 0x00d89893, REG x17: 0xffffffcd097a6000
PC: 0x0000000080000270, INSTR: 0xecb88893, REG x17: 0xffffffcd097a5ecb
PC: 0x0000000080000274, INSTR: 0x00d89893, REG x17: 0xfff9a12f4bd96000
PC: 0x0000000080000278, INSTR: 0xebf88893, REG x17: 0xfff9a12f4bd95ebf
PC: 0x000000008000027c, INSTR: 0x00c89893, REG x17: 0x9a12f4bd95ebf000
PC: 0x0000000080000280, INSTR: 0xa1788893, REG x17: 0x9a12f4bd95ebea17
PC: 0x0000000080000284, INSTR: 0x00455937, REG x18: 0x0000000000455000
PC: 0x0000000080000288, INSTR: 0x4519091b, REG x18: 0x0000000000455451
PC: 0x000000008000028c, INSTR: 0x00f91913, REG x18: 0x00000022aa288000
PC: 0x0000000080000290, INSTR: 0xd0b90913, REG x18: 0x00000022aa287d0b
PC: 0x0000000080000294, INSTR: 0x00c91913, REG x18: 0x00022aa287d0b000
PC: 0x0000000080000298, INSTR: 0x58f90913, REG x18: 0x00022aa287d0b58f
PC: 0x000000008000029c, INSTR: 0x00c91913, REG x18: 0x22aa287d0b58f000
PC: 0x00000000800002a0, INSTR: 0xe4990913, REG x18: 0x22aa287d0b58ee49
PC: 0x00000000800002a4, INSTR: 0x002509b7, REG x19: 0x0000000000250000
PC: 0x00000000800002a8, INSTR: 0x58d9899b, REG x19: 0x000000000025058d
PC: 0x00000000800002ac, INSTR: 0x00e99993, REG x19: 0x0000000941634000
PC: 0x00000000800002b0, INSTR: 0x25198993, REG x19: 0x0000000941634251
PC: 0x00000000800002b4, INSTR: 0x00c99993, REG x19: 0x0000941634251000
PC: 0x00000000800002b8, INSTR: 0xad798993, REG x19: 0x0000941634250ad7
PC: 0x00000000800002bc, INSTR: 0x00d99993, REG x19: 0x1282c684a15ae000
PC: 0x00000000800002c0, INSTR: 0x18e98993, REG x19: 0x1282c684a15ae18e
PC: 0x00000000800002c4, INSTR: 0x887d4a37, REG x20: 0xffffffff887d4000
PC: 0x00000000800002c8, INSTR: 0xc07a0a1b, REG x20: 0xffffffff887d3c07
PC: 0x00000000800002cc, INSTR: 0x00ea1a13, REG x20: 0xffffe21f4f01c000
PC: 0x00000000800002d0, INSTR: 0x9d1a0a13, REG x20: 0xffffe21f4f01b9d1
PC: 0x00000000800002d4, INSTR: 0x00da1a13, REG x20: 0xfc43e9e0373a2000
PC: 0x00000000800002d8, INSTR: 0x877a0a13, REG x20: 0xfc43e9e0373a1877
PC: 0x00000000800002dc, INSTR: 0x005a1a13, REG x20: 0x887d3c06e7430ee0
PC: 0x00000000800002e0, INSTR: 0xf0930ab7, REG x21: 0xfffffffff0930000
PC: 0x00000000800002e4, INSTR: 0xe7da8a9b, REG x21: 0xfffffffff092fe7d
PC: 0x00000000800002e8, INSTR: 0x011a9a93, REG x21: 0xffffe125fcfa0000
PC: 0x00000000800002ec, INSTR: 0xcc1a8a93, REG x21: 0xffffe125fcf9fcc1
PC: 0x00000000800002f0, INSTR: 0x00da9a93, REG x21: 0xfc24bf9f3f982000
PC: 0x00000000800002f4, INSTR: 0x5a1a8a93, REG x21: 0xfc24bf9f3f9825a1
PC: 0x00000000800002f8, INSTR: 0x003a9a93, REG x21: 0xe125fcf9fcc12d08
PC: 0x00000000800002fc, INSTR: 0xc4cc1b37, REG x22: 0xffffffffc4cc1000
PC: 0x0000000080000300, INSTR: 0x004b1b13, REG x22: 0xfffffffc4cc10000
PC: 0x0000000080000304, INSTR: 0x44db0b13, REG x22: 0xfffffffc4cc1044d
PC: 0x0000000080000308, INSTR: 0x00db1b13, REG x22: 0xffff89982089a000
PC: 0x000000008000030c, INSTR: 0x439b0b13, REG x22: 0xffff89982089a439
PC: 0x0000000080000310, INSTR: 0x00eb1b13, REG x22: 0xe2660822690e4000
PC: 0x0000000080000314, INSTR: 0x86cb0b13, REG x22: 0xe2660822690e386c
PC: 0x0000000080000318, INSTR: 0xa914bbb7, REG x23: 0xffffffffa914b000
PC: 0x000000008000031c, INSTR: 0x008b9b93, REG x23: 0xffffffa914b00000
PC: 0x0000000080000320, INSTR: 0x649b8b93, REG x23: 0xffffffa914b00649
PC: 0x0000000080000324, INSTR: 0x00cb9b93, REG x23: 0xfffa914b00649000
PC: 0x0000000080000328, INSTR: 0xff1b8b93, REG x23: 0xfffa914b00648ff1
PC: 0x000000008000032c, INSTR: 0x00cb9b93, REG x23: 0xa914b00648ff1000
PC: 0x0000000080000330, INSTR: 0xe56b8b93, REG x23: 0xa914b00648ff0e56
PC: 0x0000000080000334, INSTR: 0xfeb92c37, REG x24: 0xfffffffffeb92000
PC: 0x0000000080000338, INSTR: 0x713c0c1b, REG x24: 0xfffffffffeb92713
PC: 0x000000008000033c, INSTR: 0x00dc1c13, REG x24: 0xffffffd724e26000
PC: 0x0000000080000340, INSTR: 0xe59c0c13, REG x24: 0xffffffd724e25e59
PC: 0x0000000080000344, INSTR: 0x00cc1c13, REG x24: 0xfffd724e25e59000
PC: 0x0000000080000348, INSTR: 0x70dc0c13, REG x24: 0xfffd724e25e5970d
PC: 0x000000008000034c, INSTR: 0x00dc1c13, REG x24: 0xae49c4bcb2e1a000
