PC: 0x000000008000020c, INSTR: 0x5aa68693, REG x13: 0xbeefd6a40d9ec5aa
PC: 0x0000000080000210, INSTR: 0xff9a1737, REG x14: 0xffffffffff9a1000
PC: 0x0000000080000214, INSTR: 0x71d7071b, REG x14: 0xffffffffff9a171d
PC: 0x0000000080000218, INSTR: 0x00d71713, REG x14: 0xfffffff342e3a000
PC: 0x000000008000021c, INSTR: 0xf4170713, REG x14: 0xfffffff342e39f41
PC: 0x0000000080000220, INSTR: 0x00c71713, REG x14: 0xffff342e39f41000
PC: 0x0000000080000224, INSTR: 0x26170713, REG x14: 0xffff342e39f41261
PC: 0x0000000080000228, INSTR: 0x00f71713, REG x14: 0x9a171cfa09308000
PC: 0x000000008000022c, INSTR: 0x3d170713, REG x14: 0x9a171cfa093083d1
PC: 0x0000000080000230, INSTR: 0xffaf57b7, REG x15: 0xffffffffffaf5000
PC: 0x0000000080000234, INSTR: 0x01f7879b, REG x15: 0xffffffffffaf501f
PC: 0x0000000080000238, INSTR: 0x00c79793, REG x15: 0xfffffffaf501f000
PC: 0x000000008000023c, INSTR: 0x25778793, REG x15: 0xfffffffaf501f257
PC: 0x0000000080000240, INSTR: 0x00c79793, REG x15: 0xffffaf501f257000
PC: 0x0000000080000244, INSTR: 0x65978793, REG x15: 0xffffaf501f257659
PC: 0x0000000080000248, INSTR: 0x00c79793, REG x15: 0xfaf501f257659000
PC: 0x000000008000024c, INSTR: 0x32978793, REG x15: 0xfaf501f257659329
PC: 0x0000000080000250, INSTR: 0xffdc0837, REG x16: 0xffffffffffdc0000
PC: 0x0000000080000254, INSTR: 0x24b8081b, REG x16: 0xffffffffffdc024b
PC: 0x0000000080000258, INSTR: 0x00c81813, REG x16: 0xfffffffdc024b000
PC: 0x000000008000025c, INSTR: 0x62d80813, REG x16: 0xfffffffdc024b62d
PC: 0x0000000080000260, INSTR: 0x00d81813, REG x16: 0xffffb80496c5a000
PC: 0x0000000080000264, INSTR: 0xd9780813, REG x16: 0xffffb80496c59d97
PC: 0x0000000080000268, INSTR: 0x00d81813, REG x16: 0xf70092d8b3b2e000
PC: 0x000000008000026c, INSTR: 0x22880813, REG x16: 0xf70092d8b3b2e228
PC: 0x0000000080000270, INSTR: 0x001678b7, REG x17: 0x0000000000167000
PC: 0x0000000080000274, INSTR: 0x05d8889b, REG x17: 0x000000000016705d
PC: 0x0000000080000278, INSTR: 0x00c89893, REG x17: 0x000000016705d000
PC: 0x000000008000027c, INSTR: 0xb7f88893, REG x17: 0x000000016705cb7f
PC: 0x0000000080000280, INSTR: 0x00f89893, REG x17: 0x0000b382e5bf8000
PC: 0x0000000080000284, INSTR: 0x7c988893, REG x17: 0x0000b382e5bf87c9
PC: 0x0000000080000288, INSTR: 0x00c89893, REG x17: 0x0b382e5bf87c9000
PC: 0x000000008000028c, INSTR: 0x09c88893, REG x17: 0x0b382e5bf87c909c
PC: 0x0000000080000290, INSTR: 0x00323937, REG x18: 0x0000000000323000
PC: 0x0000000080000294, INSTR: 0x9bb9091b, REG x18: 0x00000000003229bb
PC: 0x0000000080000298, INSTR: 0x00c91913, REG x18: 0x00000003229bb000
PC: 0x000000008000029c, INSTR: 0x4db90913, REG x18: 0x00000003229bb4db
PC: 0x00000000800002a0, INSTR: 0x00d91913, REG x18: 0x00006453769b6000
PC: 0x00000000800002a4, INSTR: 0xbe590913, REG x18: 0x00006453769b5be5
PC: 0x00000000800002a8, INSTR: 0x00e91913, REG x18: 0x1914dda6d6f94000
PC: 0x00000000800002ac, INSTR: 0x3d490913, REG x18: 0x1914dda6d6f943d4
PC: 0x00000000800002b0, INSTR: 0xffc219b7, REG x19: 0xffffffffffc21000
PC: 0x00000000800002b4, INSTR: 0xb659899b, REG x19: 0xffffffffffc20b65
PC: 0x00000000800002b8, INSTR: 0x00e99993, REG x19: 0xfffffff082d94000
PC: 0x00000000800002bc, INSTR: 0x7a598993, REG x19: 0xfffffff082d947a5
PC: 0x00000000800002c0, INSTR: 0x00d99993, REG x19: 0xfffe105b28f4a000
PC: 0x00000000800002c4, INSTR: 0x17398993, REG x19: 0xfffe105b28f4a173
PC: 0x00000000800002c8, INSTR: 0x00c99993, REG x19: 0xe105b28f4a173000
PC: 0x00000000800002cc, INSTR: 0x38798993, REG x19: 0xe105b28f4a173387
PC: 0x00000000800002d0, INSTR: 0x00884a37, REG x20: 0x0000000000884000
PC: 0x00000000800002d4, INSTR: 0x66fa0a1b, REG x20: 0x000000000088466f
PC: 0x00000000800002d8, INSTR: 0x00da1a13, REG x20: 0x0000001108cde000
PC: 0x00000000800002dc, INSTR: 0xbbba0a13, REG x20: 0x0000001108cddbbb
PC: 0x00000000800002e0, INSTR: 0x00ca1a13, REG x20: 0x0001108cddbbb000
PC: 0x00000000800002e4, INSTR: 0xd11a0a13, REG x20: 0x0001108cddbbad11
PC: 0x00000000800002e8, INSTR: 0x00da1a13, REG x20: 0x22119bb775a22000
