PC: 0x000000008000021c, INSTR: 0x88170713, REG x14: 0x0001dfc4161a8881
PC: 0x0000000080000220, INSTR: 0x00e71713, REG x14: 0x77f10586a2204000
PC: 0x0000000080000224, INSTR: 0x6ca70713, REG x14: 0x77f10586a22046ca
PC: 0x0000000080000228, INSTR: 0x013ed7b7, REG x15: 0x00000000013ed000
PC: 0x000000008000022c, INSTR: 0x1f17879b, REG x15: 0x00000000013ed1f1
PC: 0x0000000080000230, INSTR: 0x00e79793, REG x15: 0x0000004fb47c4000
PC: 0x0000000080000234, INSTR: 0x84978793, REG x15: 0x0000004fb47c3849
PC: 0x0000000080000238, INSTR: 0x00c79793, REG x15: 0x0004fb47c3849000
PC: 0x000000008000023c, INSTR: 0xf1578793, REG x15: 0x0004fb47c3848f15
PC: 0x0000000080000240, INSTR: 0x00c79793, REG x15: 0x4fb47c3848f15000
PC: 0x0000000080000244, INSTR: 0x43f78793, REG x15: 0x4fb47c3848f1543f
PC: 0x0000000080000248, INSTR: 0xfff70837, REG x16: 0xfffffffffff70000
PC: 0x000000008000024c, INSTR: 0xea98081b, REG x16: 0xfffffffffff6fea9
PC: 0x0000000080000250, INSTR: 0x00d81813, REG x16: 0xfffffffedfd52000
PC: 0x0000000080000254, INSTR: 0x5b780813, REG x16: 0xfffffffedfd525b7
PC: 0x0000000080000258, INSTR: 0x00c81813, REG x16: 0xffffedfd525b7000
PC: 0x000000008000025c, INSTR: 0x3d580813, REG x16: 0xffffedfd525b73d5
PC: 0x0000000080000260, INSTR: 0x01281813, REG x16: 0xb7f5496dcf540000
PC: 0x0000000080000264, INSTR: 0xa1d80813, REG x16: 0xb7f5496dcf53fa1d
PC: 0x0000000080000268, INSTR: 0xffefd8b7, REG x17: 0xffffffffffefd000
PC: 0x000000008000026c, INSTR: 0x4218889b, REG x17: 0xffffffffffefd421
PC: 0x0000000080000270, INSTR: 0x00e89893, REG x17: 0xfffffffbf5084000
PC: 0x0000000080000274, INSTR: 0x5a988893, REG x17: 0xfffffffbf50845a9
PC: 0x0000000080000278, INSTR: 0x00e89893, REG x17: 0xfffefd42116a4000
