PC: 0x00000000800002e4, INSTR: 0x00ea1a13, REG x20: 0x302a72f64237c000
PC: 0x00000000800002e8, INSTR: 0xd7aa0a13, REG x20: 0x302a72f64237bd7a
PC: 0x00000000800002ec, INSTR: 0xffc5dab7, REG x21: 0xffffffffffc5d000
PC: 0x00000000800002f0, INSTR: 0x1cba8a9b, REG x21: 0xffffffffffc5d1cb
PC: 0x00000000800002f4, INSTR: 0x00ea9a93, REG x21: 0xfffffff17472c000
PC: 0x00000000800002f8, INSTR: 0xc5ba8a93, REG x21: 0xfffffff17472bc5b
PC: 0x00000000800002fc, INSTR: 0x00ca9a93, REG x21: 0xffff17472bc5b000
PC: 0x0000000080000300, INSTR: 0x399a8a93, REG x21: 0xffff17472bc5b399
PC: 0x0000000080000304, INSTR: 0x00ca9a93, REG x21: 0xf17472bc5b399000
PC: 0x0000000080000308, INSTR: 0x2f2a8a93, REG x21: 0xf17472bc5b3992f2
PC: 0x000000008000030c, INSTR: 0xffe34b37, REG x22: 0xffffffffffe34000
PC: 0x0000000080000310, INSTR: 0x7a1b0b1b, REG x22: 0xffffffffffe347a1
PC: 0x0000000080000314, INSTR: 0x00db1b13, REG x22: 0xfffffffc68f42000
PC: 0x0000000080000318, INSTR: 0xb87b0b13, REG x22: 0xfffffffc68f41b87
PC: 0x000000008000031c, INSTR: 0x00cb1b13, REG x22: 0xffffc68f41b87000
PC: 0x0000000080000320, INSTR: 0x17db0b13, REG x22: 0xffffc68f41b8717d
PC: 0x0000000080000324, INSTR: 0x00fb1b13, REG x22: 0xe347a0dc38be8000
PC: 0x0000000080000328, INSTR: 0xf83b0b13, REG x22: 0xe347a0dc38be7f83
PC: 0x000000008000032c, INSTR: 0x0026dbb7, REG x23: 0x000000000026d000
PC: 0x0000000080000330, INSTR: 0x0ebb8b9b, REG x23: 0x000000000026d0eb
PC: 0x0000000080000334, INSTR: 0x00cb9b93, REG x23: 0x000000026d0eb000
PC: 0x0000000080000338, INSTR: 0x2c9b8b93, REG x23: 0x000000026d0eb2c9
PC: 0x000000008000033c, INSTR: 0x010b9b93, REG x23: 0x00026d0eb2c90000
PC: 0x0000000080000340, INSTR: 0xe4bb8b93, REG x23: 0x00026d0eb2c8fe4b
PC: 0x0000000080000344, INSTR: 0x00cb9b93, REG x23: 0x26d0eb2c8fe4b000
PC: 0x0000000080000348, INSTR: 0x3eeb8b93, REG x23: 0x26d0eb2c8fe4b3ee
PC: 0x000000008000034c, INSTR: 0x03373c37, REG x24: 0x0000000003373000
PC: 0x0000000080000350, INSTR: 0x855c0c1b, REG x24: 0x0000000003372855
PC: 0x0000000080000354, INSTR: 0x00cc1c13, REG x24: 0x0000003372855000
PC: 0x0000000080000358, INSTR: 0x3fbc0c13, REG x24: 0x00000033728553fb
PC: 0x000000008000035c, INSTR: 0x00dc1c13, REG x24: 0x00066e50aa7f6000
PC: 0x0000000080000360, INSTR: 0x455c0c13, REG x24: 0x00066e50aa7f6455
PC: 0x0000000080000364, INSTR: 0x00cc1c13, REG x24: 0x66e50aa7f6455000
PC: 0x0000000080000368, INSTR: 0xc68c0c13, REG x24: 0x66e50aa7f6454c68
PC: 0x000000008000036c, INSTR: 0x00601cb7, REG x25: 0x0000000000601000
PC: 0x0000000080000370, INSTR: 0xf2fc8c9b, REG x25: 0x0000000000600f2f
