PC: 0x0000000080000278, INSTR: 0x00c89893, REG x17: 0x000020c808ea9000
PC: 0x000000008000027c, INSTR: 0xdfb88893, REG x17: 0x000020c808ea8dfb
PC: 0x0000000080000280, INSTR: 0x01189893, REG x17: 0x419011d51bf60000
PC: 0x0000000080000284, INSTR: 0x44688893, REG x17: 0x419011d51bf60446
PC: 0x0000000080000288, INSTR: 0x00096937, REG x18: 0x0000000000096000
PC: 0x000000008000028c, INSTR: 0x4619091b, REG x18: 0x0000000000096461
PC: 0x0000000080000290, INSTR: 0x00e91913, REG x18: 0x0000000259184000
PC: 0x0000000080000294, INSTR: 0x56f90913, REG x18: 0x000000025918456f
PC: 0x0000000080000298, INSTR: 0x00c91913, REG x18: 0x000025918456f000
PC: 0x000000008000029c, INSTR: 0xb3190913, REG x18: 0x000025918456eb31
PC: 0x00000000800002a0, INSTR: 0x00f91913, REG x18: 0x12c8c22b75988000
PC: 0x00000000800002a4, INSTR: 0x5b390913, REG x18: 0x12c8c22b759885b3
PC: 0x00000000800002a8, INSTR: 0x00bf09b7, REG x19: 0x0000000000bf0000
PC: 0x00000000800002ac, INSTR: 0xb9b9899b, REG x19: 0x0000000000befb9b
PC: 0x00000000800002b0, INSTR: 0x00c99993, REG x19: 0x0000000befb9b000
PC: 0x00000000800002b4, INSTR: 0x41998993, REG x19: 0x0000000befb9b419
PC: 0x00000000800002b8, INSTR: 0x00e99993, REG x19: 0x0002fbee6d064000
PC: 0x00000000800002bc, INSTR: 0xe9f98993, REG x19: 0x0002fbee6d063e9f
PC: 0x00000000800002c0, INSTR: 0x00c99993, REG x19: 0x2fbee6d063e9f000
PC: 0x00000000800002c4, INSTR: 0xdd498993, REG x19: 0x2fbee6d063e9edd4
PC: 0x00000000800002c8, INSTR: 0x002f6a37, REG x20: 0x00000000002f6000
PC: 0x00000000800002cc, INSTR: 0xacfa0a1b, REG x20: 0x00000000002f5acf
PC: 0x00000000800002d0, INSTR: 0x00ea1a13, REG x20: 0x0000000bd6b3c000
PC: 0x00000000800002d4, INSTR: 0x3eba0a13, REG x20: 0x0000000bd6b3c3eb
PC: 0x00000000800002d8, INSTR: 0x00ea1a13, REG x20: 0x0002f5acf0fac000
PC: 0x00000000800002dc, INSTR: 0x5dfa0a13, REG x20: 0x0002f5acf0fac5df
PC: 0x00000000800002e0, INSTR: 0x00ca1a13, REG x20: 0x2f5acf0fac5df000
PC: 0x00000000800002e4, INSTR: 0x9d0a0a13, REG x20: 0x2f5acf0fac5de9d0
PC: 0x00000000800002e8, INSTR: 0xfc27eab7, REG x21: 0xfffffffffc27e000
PC: 0x00000000800002ec, INSTR: 0xcf1a8a9b, REG x21: 0xfffffffffc27dcf1
PC: 0x00000000800002f0, INSTR: 0x00ca9a93, REG x21: 0xffffffc27dcf1000
PC: 0x00000000800002f4, INSTR: 0xd99a8a93, REG x21: 0xffffffc27dcf0d99
PC: 0x00000000800002f8, INSTR: 0x00ca9a93, REG x21: 0xfffc27dcf0d99000
PC: 0x00000000800002fc, INSTR: 0x5a1a8a93, REG x21: 0xfffc27dcf0d995a1
PC: 0x0000000080000300, INSTR: 0x00da9a93, REG x21: 0x84fb9e1b32b42000
PC: 0x0000000080000304, INSTR: 0x17da8a93, REG x21: 0x84fb9e1b32b4217d
PC: 0x0000000080000308, INSTR: 0x00b07b37, REG x22: 0x0000000000b07000
PC: 0x000000008000030c, INSTR: 0x953b0b1b, REG x22: 0x0000000000b06953
