PC: 0x00000000800001ec, INSTR: 0x89568693, REG x13: 0xffffffcca950a895
PC: 0x00000000800001f0, INSTR: 0x00c69693, REG x13: 0xfffcca950a895000
PC: 0x00000000800001f4, INSTR: 0x20168693, REG x13: 0xfffcca950a895201
PC: 0x00000000800001f8, INSTR: 0x00d69693, REG x13: 0x9952a1512a402000
PC: 0x00000000800001fc, INSTR: 0x33b68693, REG x13: 0x9952a1512a40233b
PC: 0x0000000080000200, INSTR: 0xfcb15737, REG x14: 0xfffffffffcb15000
PC: 0x0000000080000204, INSTR: 0x32f7071b, REG x14: 0xfffffffffcb1532f
PC: 0x0000000080000208, INSTR: 0x00d71713, REG x14: 0xffffff962a65e000
PC: 0x000000008000020c, INSTR: 0x5c570713, REG x14: 0xffffff962a65e5c5
PC: 0x0000000080000210, INSTR: 0x00c71713, REG x14: 0xfff962a65e5c5000
PC: 0x0000000080000214, INSTR: 0x00370713, REG x14: 0xfff962a65e5c5003
PC: 0x0000000080000218, INSTR: 0x00c71713, REG x14: 0x962a65e5c5003000
PC: 0x000000008000021c, INSTR: 0xbfe70713, REG x14: 0x962a65e5c5002bfe
PC: 0x0000000080000220, INSTR: 0xff7057b7, REG x15: 0xffffffffff705000
PC: 0x0000000080000224, INSTR: 0x0797879b, REG x15: 0xffffffffff705079
PC: 0x0000000080000228, INSTR: 0x00c79793, REG x15: 0xfffffff705079000
PC: 0x000000008000022c, INSTR: 0xf3178793, REG x15: 0xfffffff705078f31
PC: 0x0000000080000230, INSTR: 0x00f79793, REG x15: 0xfffb8283c7988000
PC: 0x0000000080000234, INSTR: 0x09978793, REG x15: 0xfffb8283c7988099
PC: 0x0000000080000238, INSTR: 0x00c79793, REG x15: 0xb8283c7988099000
PC: 0x000000008000023c, INSTR: 0x71978793, REG x15: 0xb8283c7988099719
PC: 0x0000000080000240, INSTR: 0x018a2837, REG x16: 0x00000000018a2000
PC: 0x0000000080000244, INSTR: 0xee38081b, REG x16: 0x00000000018a1ee3
PC: 0x0000000080000248, INSTR: 0x00c81813, REG x16: 0x00000018a1ee3000
PC: 0x000000008000024c, INSTR: 0x08380813, REG x16: 0x00000018a1ee3083
PC: 0x0000000080000250, INSTR: 0x00e81813, REG x16: 0x0006287b8c20c000
PC: 0x0000000080000254, INSTR: 0x87580813, REG x16: 0x0006287b8c20b875
PC: 0x0000000080000258, INSTR: 0x00c81813, REG x16: 0x6287b8c20b875000
PC: 0x000000008000025c, INSTR: 0x22980813, REG x16: 0x6287b8c20b875229
PC: 0x0000000080000260, INSTR: 0xa4c078b7, REG x17: 0xffffffffa4c07000
PC: 0x0000000080000264, INSTR: 0x00389893, REG x17: 0xfffffffd26038000
PC: 0x0000000080000268, INSTR: 0xec788893, REG x17: 0xfffffffd26037ec7
PC: 0x000000008000026c, INSTR: 0x00c89893, REG x17: 0xffffd26037ec7000
PC: 0x0000000080000270, INSTR: 0xadb88893, REG x17: 0xffffd26037ec6adb
PC: 0x0000000080000274, INSTR: 0x00d89893, REG x17: 0xfa4c06fd8d5b6000
PC: 0x0000000080000278, INSTR: 0x9e488893, REG x17: 0xfa4c06fd8d5b59e4
PC: 0x000000008000027c, INSTR: 0xff98a937, REG x18: 0xffffffffff98a000
PC: 0x0000000080000280, INSTR: 0xcf59091b, REG x18: 0xffffffffff989cf5
PC: 0x0000000080000284, INSTR: 0x00c91913, REG x18: 0xfffffff989cf5000
PC: 0x0000000080000288, INSTR: 0x49f90913, REG x18: 0xfffffff989cf549f
PC: 0x000000008000028c, INSTR: 0x00f91913, REG x18: 0xfffcc4e7aa4f8000
PC: 0x0000000080000290, INSTR: 0xe1990913, REG x18: 0xfffcc4e7aa4f7e19
PC: 0x0000000080000294, INSTR: 0x00c91913, REG x18: 0xcc4e7aa4f7e19000
PC: 0x0000000080000298, INSTR: 0xc1b90913, REG x18: 0xcc4e7aa4f7e18c1b
PC: 0x000000008000029c, INSTR: 0x003c69b7, REG x19: 0x00000000003c6000
PC: 0x00000000800002a0, INSTR: 0x2e59899b, REG x19: 0x00000000003c62e5
PC: 0x00000000800002a4, INSTR: 0x01099993, REG x19: 0x0000003c62e50000
PC: 0x00000000800002a8, INSTR: 0xf1d98993, REG x19: 0x0000003c62e4ff1d
PC: 0x00000000800002ac, INSTR: 0x00c99993, REG x19: 0x0003c62e4ff1d000
PC: 0x00000000800002b0, INSTR: 0x12b98993, REG x19: 0x0003c62e4ff1d12b
PC: 0x00000000800002b4, INSTR: 0x00c99993, REG x19: 0x3c62e4ff1d12b000
PC: 0x00000000800002b8, INSTR: 0x24b98993, REG x19: 0x3c62e4ff1d12b24b
PC: 0x00000000800002bc, INSTR: 0x1f541a37, REG x20: 0x000000001f541000
PC: 0x00000000800002c0, INSTR: 0x004a1a13, REG x20: 0x00000001f5410000
PC: 0x00000000800002c4, INSTR: 0x63fa0a13, REG x20: 0x00000001f541063f
PC: 0x00000000800002c8, INSTR: 0x00da1a13, REG x20: 0x00003ea820c7e000
PC: 0x00000000800002cc, INSTR: 0xfa7a0a13, REG x20: 0x00003ea820c7dfa7
PC: 0x00000000800002d0, INSTR: 0x011a1a13, REG x20: 0x7d50418fbf4e0000
PC: 0x00000000800002d4, INSTR: 0xbcfa0a13, REG x20: 0x7d50418fbf4dfbcf
PC: 0x00000000800002d8, INSTR: 0x007eeab7, REG x21: 0x00000000007ee000
PC: 0x00000000800002dc, INSTR: 0x23fa8a9b, REG x21: 0x00000000007ee23f
PC: 0x00000000800002e0, INSTR: 0x00fa9a93, REG x21: 0x0000003f711f8000
PC: 0x00000000800002e4, INSTR: 0x9cfa8a93, REG x21: 0x0000003f711f79cf
PC: 0x00000000800002e8, INSTR: 0x00ca9a93, REG x21: 0x0003f711f79cf000
PC: 0x00000000800002ec, INSTR: 0x2fda8a93, REG x21: 0x0003f711f79cf2fd
PC: 0x00000000800002f0, INSTR: 0x00ca9a93, REG x21: 0x3f711f79cf2fd000
PC: 0x00000000800002f4, INSTR: 0x2bca8a93, REG x21: 0x3f711f79cf2fd2bc
PC: 0x00000000800002f8, INSTR: 0x01f35b37, REG x22: 0x0000000001f35000
PC: 0x00000000800002fc, INSTR: 0x1d9b0b1b, REG x22: 0x0000000001f351d9
PC: 0x0000000080000300, INSTR: 0x00cb1b13, REG x22: 0x0000001f351d9000
PC: 0x0000000080000304, INSTR: 0xe59b0b13, REG x22: 0x0000001f351d8e59
PC: 0x0000000080000308, INSTR: 0x00db1b13, REG x22: 0x0003e6a3b1cb2000
PC: 0x000000008000030c, INSTR: 0x557b0b13, REG x22: 0x0003e6a3b1cb2557
PC: 0x0000000080000310, INSTR: 0x00db1b13, REG x22: 0x7cd4763964aae000
PC: 0x0000000080000314, INSTR: 0x04eb0b13, REG x22: 0x7cd4763964aae04e
PC: 0x0000000080000318, INSTR: 0x0033bbb7, REG x23: 0x000000000033b000
PC: 0x000000008000031c, INSTR: 0x077b8b9b, REG x23: 0x000000000033b077
PC: 0x0000000080000320, INSTR: 0x00cb9b93, REG x23: 0x000000033b077000
PC: 0x0000000080000324, INSTR: 0x17fb8b93, REG x23: 0x000000033b07717f
PC: 0x0000000080000328, INSTR: 0x00cb9b93, REG x23: 0x000033b07717f000
PC: 0x000000008000032c, INSTR: 0x22fb8b93, REG x23: 0x000033b07717f22f
PC: 0x0000000080000330, INSTR: 0x00db9b93, REG x23: 0x06760ee2fe45e000
PC: 0x0000000080000334, INSTR: 0x493b8b93, REG x23: 0x06760ee2fe45e493
PC: 0x0000000080000338, INSTR: 0xffdcfc37, REG x24: 0xffffffffffdcf000
PC: 0x000000008000033c, INSTR: 0x3fdc0c1b, REG x24: 0xffffffffffdcf3fd
PC: 0x0000000080000340, INSTR: 0x00fc1c13, REG x24: 0xffffffee79fe8000
PC: 0x0000000080000344, INSTR: 0x791c0c13, REG x24: 0xffffffee79fe8791
