PC: 0x0000000080000174, INSTR: 0x00d49493, REG x9: 0xfffffffd68926000
PC: 0x0000000080000178, INSTR: 0x5e748493, REG x9: 0xfffffffd689265e7
PC: 0x000000008000017c, INSTR: 0x01149493, REG x9: 0xfffad124cbce0000
PC: 0x0000000080000180, INSTR: 0x52b48493, REG x9: 0xfffad124cbce052b
PC: 0x0000000080000184, INSTR: 0x00c49493, REG x9: 0xad124cbce052b000
PC: 0x0000000080000188, INSTR: 0xf0648493, REG x9: 0xad124cbce052af06
PC: 0x000000008000018c, INSTR: 0xb5769537, REG x10: 0xffffffffb5769000
PC: 0x0000000080000190, INSTR: 0x14d5051b, REG x10: 0xffffffffb576914d
PC: 0x0000000080000194, INSTR: 0x00c51513, REG x10: 0xfffffb576914d000
PC: 0x0000000080000198, INSTR: 0x4d350513, REG x10: 0xfffffb576914d4d3
PC: 0x000000008000019c, INSTR: 0x00d51513, REG x10: 0xff6aed229a9a6000
PC: 0x00000000800001a0, INSTR: 0x66550513, REG x10: 0xff6aed229a9a6665
PC: 0x00000000800001a4, INSTR: 0x00551513, REG x10: 0xed5da453534ccca0
PC: 0x00000000800001a8, INSTR: 0x06df55b7, REG x11: 0x0000000006df5000
PC: 0x00000000800001ac, INSTR: 0x2b55859b, REG x11: 0x0000000006df52b5
PC: 0x00000000800001b0, INSTR: 0x00c59593, REG x11: 0x0000006df52b5000
PC: 0x00000000800001b4, INSTR: 0xbdd58593, REG x11: 0x0000006df52b4bdd
PC: 0x00000000800001b8, INSTR: 0x00c59593, REG x11: 0x0006df52b4bdd000
PC: 0x00000000800001bc, INSTR: 0x0dd58593, REG x11: 0x0006df52b4bdd0dd
PC: 0x00000000800001c0, INSTR: 0x00c59593, REG x11: 0x6df52b4bdd0dd000
PC: 0x00000000800001c4, INSTR: 0xbed58593, REG x11: 0x6df52b4bdd0dcbed
PC: 0x00000000800001c8, INSTR: 0xfdfb0637, REG x12: 0xfffffffffdfb0000
