PC: 0x00000000800001fc, INSTR: 0x91d68693, REG x13: 0xfffe4239b042691d
PC: 0x0000000080000200, INSTR: 0x00c69693, REG x13: 0xe4239b042691d000
PC: 0x0000000080000204, INSTR: 0xc0968693, REG x13: 0xe4239b042691cc09
PC: 0x0000000080000208, INSTR: 0x047cb737, REG x14: 0x00000000047cb000
PC: 0x000000008000020c, INSTR: 0xd437071b, REG x14: 0x00000000047cad43
PC: 0x0000000080000210, INSTR: 0x00c71713, REG x14: 0x00000047cad43000
PC: 0x0000000080000214, INSTR: 0x10d70713, REG x14: 0x00000047cad4310d
PC: 0x0000000080000218, INSTR: 0x00c71713, REG x14: 0x00047cad4310d000
PC: 0x000000008000021c, INSTR: 0x1b770713, REG x14: 0x00047cad4310d1b7
PC: 0x0000000080000220, INSTR: 0x00c71713, REG x14: 0x47cad4310d1b7000
PC: 0x0000000080000224, INSTR: 0xf8670713, REG x14: 0x47cad4310d1b6f86
PC: 0x0000000080000228, INSTR: 0x0098a7b7, REG x15: 0x000000000098a000
PC: 0x000000008000022c, INSTR: 0x7397879b, REG x15: 0x000000000098a739
PC: 0x0000000080000230, INSTR: 0x00d79793, REG x15: 0x0000001314e72000
PC: 0x0000000080000234, INSTR: 0x80178793, REG x15: 0x0000001314e71801
PC: 0x0000000080000238, INSTR: 0x00c79793, REG x15: 0x0001314e71801000
PC: 0x000000008000023c, INSTR: 0x33378793, REG x15: 0x0001314e71801333
PC: 0x0000000080000240, INSTR: 0x00e79793, REG x15: 0x4c539c6004ccc000
PC: 0x0000000080000244, INSTR: 0x1c578793, REG x15: 0x4c539c6004ccc1c5
PC: 0x0000000080000248, INSTR: 0xffec0837, REG x16: 0xffffffffffec0000
PC: 0x000000008000024c, INSTR: 0x6058081b, REG x16: 0xffffffffffec0605
PC: 0x0000000080000250, INSTR: 0x00f81813, REG x16: 0xfffffff603028000
PC: 0x0000000080000254, INSTR: 0xecb80813, REG x16: 0xfffffff603027ecb
PC: 0x0000000080000258, INSTR: 0x00c81813, REG x16: 0xffff603027ecb000
PC: 0x000000008000025c, INSTR: 0x33980813, REG x16: 0xffff603027ecb339
PC: 0x0000000080000260, INSTR: 0x00c81813, REG x16: 0xf603027ecb339000
PC: 0x0000000080000264, INSTR: 0x2ea80813, REG x16: 0xf603027ecb3392ea
PC: 0x0000000080000268, INSTR: 0xff4f48b7, REG x17: 0xffffffffff4f4000
PC: 0x000000008000026c, INSTR: 0x8238889b, REG x17: 0xffffffffff4f3823
PC: 0x0000000080000270, INSTR: 0x00c89893, REG x17: 0xfffffff4f3823000
