PC: 0x00000000800001f8, INSTR: 0x00c69693, REG x13: 0xfebf4f42b525d000
PC: 0x00000000800001fc, INSTR: 0xffd68693, REG x13: 0xfebf4f42b525cffd
PC: 0x0000000080000200, INSTR: 0x14144737, REG x14: 0x0000000014144000
PC: 0x0000000080000204, INSTR: 0x1bd7071b, REG x14: 0x00000000141441bd
PC: 0x0000000080000208, INSTR: 0x01271713, REG x14: 0x0000505106f40000
PC: 0x000000008000020c, INSTR: 0x2af70713, REG x14: 0x0000505106f402af
PC: 0x0000000080000210, INSTR: 0x00c71713, REG x14: 0x0505106f402af000
PC: 0x0000000080000214, INSTR: 0xd1570713, REG x14: 0x0505106f402aed15
PC: 0x0000000080000218, INSTR: 0xff6a97b7, REG x15: 0xffffffffff6a9000
PC: 0x000000008000021c, INSTR: 0x85f7879b, REG x15: 0xffffffffff6a885f
PC: 0x0000000080000220, INSTR: 0x00d79793, REG x15: 0xffffffed510be000
PC: 0x0000000080000224, INSTR: 0x64178793, REG x15: 0xffffffed510be641
PC: 0x0000000080000228, INSTR: 0x00e79793, REG x15: 0xfffb5442f9904000
PC: 0x000000008000022c, INSTR: 0xce578793, REG x15: 0xfffb5442f9903ce5
PC: 0x0000000080000230, INSTR: 0x00c79793, REG x15: 0xb5442f9903ce5000
PC: 0x0000000080000234, INSTR: 0x5b778793, REG x15: 0xb5442f9903ce55b7
PC: 0x0000000080000238, INSTR: 0xffc5a837, REG x16: 0xffffffffffc5a000
PC: 0x000000008000023c, INSTR: 0x5a38081b, REG x16: 0xffffffffffc5a5a3
PC: 0x0000000080000240, INSTR: 0x00d81813, REG x16: 0xfffffff8b4b46000
PC: 0x0000000080000244, INSTR: 0xbbb80813, REG x16: 0xfffffff8b4b45bbb
PC: 0x0000000080000248, INSTR: 0x00e81813, REG x16: 0xfffe2d2d16eec000
PC: 0x000000008000024c, INSTR: 0x51580813, REG x16: 0xfffe2d2d16eec515
PC: 0x0000000080000250, INSTR: 0x00c81813, REG x16: 0xe2d2d16eec515000
PC: 0x0000000080000254, INSTR: 0x97d80813, REG x16: 0xe2d2d16eec51497d
PC: 0x0000000080000258, INSTR: 0x00d8a8b7, REG x17: 0x0000000000d8a000
PC: 0x000000008000025c, INSTR: 0xa038889b, REG x17: 0x0000000000d89a03
PC: 0x0000000080000260, INSTR: 0x00c89893, REG x17: 0x0000000d89a03000
PC: 0x0000000080000264, INSTR: 0x94788893, REG x17: 0x0000000d89a02947
PC: 0x0000000080000268, INSTR: 0x00d89893, REG x17: 0x0001b1340528e000
PC: 0x000000008000026c, INSTR: 0x81388893, REG x17: 0x0001b1340528d813
PC: 0x0000000080000270, INSTR: 0x00d89893, REG x17: 0x362680a51b026000
PC: 0x0000000080000274, INSTR: 0xc3d88893, REG x17: 0x362680a51b025c3d
PC: 0x0000000080000278, INSTR: 0xffced937, REG x18: 0xffffffffffced000
PC: 0x000000008000027c, INSTR: 0xf379091b, REG x18: 0xffffffffffcecf37
PC: 0x0000000080000280, INSTR: 0x00c91913, REG x18: 0xfffffffcecf37000
PC: 0x0000000080000284, INSTR: 0x56590913, REG x18: 0xfffffffcecf37565
PC: 0x0000000080000288, INSTR: 0x00e91913, REG x18: 0xffff3b3cdd594000
PC: 0x000000008000028c, INSTR: 0x58790913, REG x18: 0xffff3b3cdd594587
PC: 0x0000000080000290, INSTR: 0x00d91913, REG x18: 0xe7679bab28b0e000
PC: 0x0000000080000294, INSTR: 0xc2890913, REG x18: 0xe7679bab28b0dc28
PC: 0x0000000080000298, INSTR: 0xffdfa9b7, REG x19: 0xffffffffffdfa000
PC: 0x000000008000029c, INSTR: 0xd0f9899b, REG x19: 0xffffffffffdf9d0f
PC: 0x00000000800002a0, INSTR: 0x00c99993, REG x19: 0xfffffffdf9d0f000
PC: 0x00000000800002a4, INSTR: 0x63b98993, REG x19: 0xfffffffdf9d0f63b
PC: 0x00000000800002a8, INSTR: 0x00f99993, REG x19: 0xfffefce87b1d8000
PC: 0x00000000800002ac, INSTR: 0x6b598993, REG x19: 0xfffefce87b1d86b5
PC: 0x00000000800002b0, INSTR: 0x00d99993, REG x19: 0xdf9d0f63b0d6a000
PC: 0x00000000800002b4, INSTR: 0x43a98993, REG x19: 0xdf9d0f63b0d6a43a
PC: 0x00000000800002b8, INSTR: 0x0025ea37, REG x20: 0x000000000025e000
PC: 0x00000000800002bc, INSTR: 0x073a0a1b, REG x20: 0x000000000025e073
PC: 0x00000000800002c0, INSTR: 0x00ea1a13, REG x20: 0x00000009781cc000
