PC: 0x0000000080000224, INSTR: 0x00871713, REG x14: 0x672bc11ed2170d00
PC: 0x0000000080000228, INSTR: 0xcc6367b7, REG x15: 0xffffffffcc636000
PC: 0x000000008000022c, INSTR: 0xc917879b, REG x15: 0xffffffffcc635c91
PC: 0x0000000080000230, INSTR: 0x00e79793, REG x15: 0xfffff318d7244000
PC: 0x0000000080000234, INSTR: 0x26378793, REG x15: 0xfffff318d7244263
PC: 0x0000000080000238, INSTR: 0x00d79793, REG x15: 0xfe631ae4884c6000
PC: 0x000000008000023c, INSTR: 0xa2378793, REG x15: 0xfe631ae4884c5a23
PC: 0x0000000080000240, INSTR: 0x00179793, REG x15: 0xfcc635c91098b446
PC: 0x0000000080000244, INSTR: 0x00640837, REG x16: 0x0000000000640000
PC: 0x0000000080000248, INSTR: 0x2478081b, REG x16: 0x0000000000640247
PC: 0x000000008000024c, INSTR: 0x00c81813, REG x16: 0x0000000640247000
PC: 0x0000000080000250, INSTR: 0xe3d80813, REG x16: 0x0000000640246e3d
PC: 0x0000000080000254, INSTR: 0x01081813, REG x16: 0x000640246e3d0000
PC: 0x0000000080000258, INSTR: 0x81380813, REG x16: 0x000640246e3cf813
PC: 0x000000008000025c, INSTR: 0x00c81813, REG x16: 0x640246e3cf813000
PC: 0x0000000080000260, INSTR: 0xc9e80813, REG x16: 0x640246e3cf812c9e
PC: 0x0000000080000264, INSTR: 0xff20c8b7, REG x17: 0xffffffffff20c000
PC: 0x0000000080000268, INSTR: 0xb258889b, REG x17: 0xffffffffff20bb25
PC: 0x000000008000026c, INSTR: 0x00c89893, REG x17: 0xfffffff20bb25000
PC: 0x0000000080000270, INSTR: 0x39988893, REG x17: 0xfffffff20bb25399
PC: 0x0000000080000274, INSTR: 0x00c89893, REG x17: 0xffff20bb25399000
PC: 0x0000000080000278, INSTR: 0x70f88893, REG x17: 0xffff20bb2539970f
PC: 0x000000008000027c, INSTR: 0x00c89893, REG x17: 0xf20bb2539970f000
PC: 0x0000000080000280, INSTR: 0xd7988893, REG x17: 0xf20bb2539970ed79
PC: 0x0000000080000284, INSTR: 0xff9fc937, REG x18: 0xffffffffff9fc000
PC: 0x0000000080000288, INSTR: 0x61b9091b, REG x18: 0xffffffffff9fc61b
PC: 0x000000008000028c, INSTR: 0x00f91913, REG x18: 0xffffffcfe30d8000
PC: 0x0000000080000290, INSTR: 0x86b90913, REG x18: 0xffffffcfe30d786b
PC: 0x0000000080000294, INSTR: 0x00d91913, REG x18: 0xfff9fc61af0d6000
PC: 0x0000000080000298, INSTR: 0xfa390913, REG x18: 0xfff9fc61af0d5fa3
PC: 0x000000008000029c, INSTR: 0x00c91913, REG x18: 0x9fc61af0d5fa3000
PC: 0x00000000800002a0, INSTR: 0x4f690913, REG x18: 0x9fc61af0d5fa34f6
PC: 0x00000000800002a4, INSTR: 0xffd5f9b7, REG x19: 0xffffffffffd5f000
PC: 0x00000000800002a8, INSTR: 0x6cd9899b, REG x19: 0xffffffffffd5f6cd
