PC: 0x0000000080000194, INSTR: 0x01351513, REG x10: 0xd74c772d76e80000
PC: 0x0000000080000198, INSTR: 0xb6d50513, REG x10: 0xd74c772d76e7fb6d
PC: 0x000000008000019c, INSTR: 0xffd6b5b7, REG x11: 0xffffffffffd6b000
PC: 0x00000000800001a0, INSTR: 0x07d5859b, REG x11: 0xffffffffffd6b07d
PC: 0x00000000800001a4, INSTR: 0x01b59593, REG x11: 0xfffeb583e8000000
PC: 0x00000000800001a8, INSTR: 0x73358593, REG x11: 0xfffeb583e8000733
PC: 0x00000000800001ac, INSTR: 0x00d59593, REG x11: 0xd6b07d0000e66000
PC: 0x00000000800001b0, INSTR: 0x80058593, REG x11: 0xd6b07d0000e65800
PC: 0x00000000800001b4, INSTR: 0xac558593, REG x11: 0xd6b07d0000e652c5
PC: 0x00000000800001b8, INSTR: 0x00e5b637, REG x12: 0x0000000000e5b000
PC: 0x00000000800001bc, INSTR: 0x4296061b, REG x12: 0x0000000000e5b429
PC: 0x00000000800001c0, INSTR: 0x00c61613, REG x12: 0x0000000e5b429000
PC: 0x00000000800001c4, INSTR: 0xc4f60613, REG x12: 0x0000000e5b428c4f
PC: 0x00000000800001c8, INSTR: 0x00d61613, REG x12: 0x0001cb685189e000
PC: 0x00000000800001cc, INSTR: 0xfff60613, REG x12: 0x0001cb685189dfff
PC: 0x00000000800001d0, INSTR: 0x00e61613, REG x12: 0x72da146277ffc000
PC: 0x00000000800001d4, INSTR: 0x72460613, REG x12: 0x72da146277ffc724
PC: 0x00000000800001d8, INSTR: 0x21b9b6b7, REG x13: 0x0000000021b9b000
PC: 0x00000000800001dc, INSTR: 0xd296869b, REG x13: 0x0000000021b9ad29
PC: 0x00000000800001e0, INSTR: 0x00e69693, REG x13: 0x0000086e6b4a4000
PC: 0x00000000800001e4, INSTR: 0x0f968693, REG x13: 0x0000086e6b4a40f9
PC: 0x00000000800001e8, INSTR: 0x01269693, REG x13: 0x21b9ad2903e40000
PC: 0x00000000800001ec, INSTR: 0x4dd68693, REG x13: 0x21b9ad2903e404dd
PC: 0x00000000800001f0, INSTR: 0x00169693, REG x13: 0x43735a5207c809ba
PC: 0x00000000800001f4, INSTR: 0xff279737, REG x14: 0xffffffffff279000
PC: 0x00000000800001f8, INSTR: 0x68b7071b, REG x14: 0xffffffffff27968b
PC: 0x00000000800001fc, INSTR: 0x00d71713, REG x14: 0xffffffe4f2d16000
PC: 0x0000000080000200, INSTR: 0xc3d70713, REG x14: 0xffffffe4f2d15c3d
PC: 0x0000000080000204, INSTR: 0x00d71713, REG x14: 0xfffc9e5a2b87a000
PC: 0x0000000080000208, INSTR: 0x8cd70713, REG x14: 0xfffc9e5a2b8798cd
PC: 0x000000008000020c, INSTR: 0x00c71713, REG x14: 0xc9e5a2b8798cd000
PC: 0x0000000080000210, INSTR: 0x4db70713, REG x14: 0xc9e5a2b8798cd4db
PC: 0x0000000080000214, INSTR: 0x008287b7, REG x15: 0x0000000000828000
PC: 0x0000000080000218, INSTR: 0x5837879b, REG x15: 0x0000000000828583
PC: 0x000000008000021c, INSTR: 0x00d79793, REG x15: 0x0000001050b06000
PC: 0x0000000080000220, INSTR: 0xd0778793, REG x15: 0x0000001050b05d07
PC: 0x0000000080000224, INSTR: 0x00c79793, REG x15: 0x0001050b05d07000
PC: 0x0000000080000228, INSTR: 0x5ef78793, REG x15: 0x0001050b05d075ef
PC: 0x000000008000022c, INSTR: 0x00e79793, REG x15: 0x4142c1741d7bc000
PC: 0x0000000080000230, INSTR: 0x95478793, REG x15: 0x4142c1741d7bb954
PC: 0x0000000080000234, INSTR: 0x0027e837, REG x16: 0x000000000027e000
PC: 0x0000000080000238, INSTR: 0x5278081b, REG x16: 0x000000000027e527
PC: 0x000000008000023c, INSTR: 0x00e81813, REG x16: 0x00000009f949c000
PC: 0x0000000080000240, INSTR: 0x30780813, REG x16: 0x00000009f949c307
PC: 0x0000000080000244, INSTR: 0x00c81813, REG x16: 0x00009f949c307000
PC: 0x0000000080000248, INSTR: 0x97b80813, REG x16: 0x00009f949c30697b
PC: 0x000000008000024c, INSTR: 0x00c81813, REG x16: 0x09f949c30697b000
PC: 0x0000000080000250, INSTR: 0xfb580813, REG x16: 0x09f949c30697afb5
PC: 0x0000000080000254, INSTR: 0xffe4d8b7, REG x17: 0xffffffffffe4d000
PC: 0x0000000080000258, INSTR: 0xc778889b, REG x17: 0xffffffffffe4cc77
PC: 0x000000008000025c, INSTR: 0x01189893, REG x17: 0xffffffc998ee0000
PC: 0x0000000080000260, INSTR: 0xa5588893, REG x17: 0xffffffc998edfa55
PC: 0x0000000080000264, INSTR: 0x00c89893, REG x17: 0xfffc998edfa55000
PC: 0x0000000080000268, INSTR: 0xa6988893, REG x17: 0xfffc998edfa54a69
PC: 0x000000008000026c, INSTR: 0x00d89893, REG x17: 0x9331dbf4a94d2000
PC: 0x0000000080000270, INSTR: 0xa5e88893, REG x17: 0x9331dbf4a94d1a5e
PC: 0x0000000080000274, INSTR: 0xfa4f7937, REG x18: 0xfffffffffa4f7000
