PC: 0x0000000080000294, INSTR: 0xef590913, REG x18: 0x0001e59ee25deef5
PC: 0x0000000080000298, INSTR: 0x00d91913, REG x18: 0x3cb3dc4bbddea000
PC: 0x000000008000029c, INSTR: 0xcb790913, REG x18: 0x3cb3dc4bbdde9cb7
PC: 0x00000000800002a0, INSTR: 0x45dc99b7, REG x19: 0x0000000045dc9000
PC: 0x00000000800002a4, INSTR: 0xf539899b, REG x19: 0x0000000045dc8f53
PC: 0x00000000800002a8, INSTR: 0x00c99993, REG x19: 0x0000045dc8f53000
PC: 0x00000000800002ac, INSTR: 0xb2b98993, REG x19: 0x0000045dc8f52b2b
PC: 0x00000000800002b0, INSTR: 0x00d99993, REG x19: 0x008bb91ea5656000
PC: 0x00000000800002b4, INSTR: 0x5a698993, REG x19: 0x008bb91ea56565a6
PC: 0x00000000800002b8, INSTR: 0x0078aa37, REG x20: 0x000000000078a000
PC: 0x00000000800002bc, INSTR: 0x017a0a1b, REG x20: 0x000000000078a017
PC: 0x00000000800002c0, INSTR: 0x010a1a13, REG x20: 0x00000078a0170000
PC: 0x00000000800002c4, INSTR: 0x543a0a13, REG x20: 0x00000078a0170543
PC: 0x00000000800002c8, INSTR: 0x00ca1a13, REG x20: 0x00078a0170543000
PC: 0x00000000800002cc, INSTR: 0x54ba0a13, REG x20: 0x00078a017054354b
PC: 0x00000000800002d0, INSTR: 0x00ca1a13, REG x20: 0x78a017054354b000
PC: 0x00000000800002d4, INSTR: 0xe5ba0a13, REG x20: 0x78a017054354ae5b
PC: 0x00000000800002d8, INSTR: 0xff9adab7, REG x21: 0xffffffffff9ad000
PC: 0x00000000800002dc, INSTR: 0x67ba8a9b, REG x21: 0xffffffffff9ad67b
PC: 0x00000000800002e0, INSTR: 0x00ca9a93, REG x21: 0xfffffff9ad67b000
PC: 0x00000000800002e4, INSTR: 0xf15a8a93, REG x21: 0xfffffff9ad67af15
PC: 0x00000000800002e8, INSTR: 0x00da9a93, REG x21: 0xffff35acf5e2a000
PC: 0x00000000800002ec, INSTR: 0xb25a8a93, REG x21: 0xffff35acf5e29b25
PC: 0x00000000800002f0, INSTR: 0x00ea9a93, REG x21: 0xcd6b3d78a6c94000
PC: 0x00000000800002f4, INSTR: 0x79ca8a93, REG x21: 0xcd6b3d78a6c9479c
PC: 0x00000000800002f8, INSTR: 0xfd359b37, REG x22: 0xfffffffffd359000
PC: 0x00000000800002fc, INSTR: 0x64bb0b1b, REG x22: 0xfffffffffd35964b
PC: 0x0000000080000300, INSTR: 0x00cb1b13, REG x22: 0xffffffd35964b000
PC: 0x0000000080000304, INSTR: 0x13bb0b13, REG x22: 0xffffffd35964b13b
PC: 0x0000000080000308, INSTR: 0x00cb1b13, REG x22: 0xfffd35964b13b000
PC: 0x000000008000030c, INSTR: 0x46bb0b13, REG x22: 0xfffd35964b13b46b
PC: 0x0000000080000310, INSTR: 0x00db1b13, REG x22: 0xa6b2c962768d6000
PC: 0x0000000080000314, INSTR: 0x481b0b13, REG x22: 0xa6b2c962768d6481
PC: 0x0000000080000318, INSTR: 0xfe839bb7, REG x23: 0xfffffffffe839000
PC: 0x000000008000031c, INSTR: 0x151b8b9b, REG x23: 0xfffffffffe839151
PC: 0x0000000080000320, INSTR: 0x00cb9b93, REG x23: 0xffffffe839151000
PC: 0x0000000080000324, INSTR: 0x92fb8b93, REG x23: 0xffffffe83915092f
PC: 0x0000000080000328, INSTR: 0x00eb9b93, REG x23: 0xfffa0e45424bc000
PC: 0x000000008000032c, INSTR: 0x565b8b93, REG x23: 0xfffa0e45424bc565
PC: 0x0000000080000330, INSTR: 0x00cb9b93, REG x23: 0xa0e45424bc565000
PC: 0x0000000080000334, INSTR: 0xae8b8b93, REG x23: 0xa0e45424bc564ae8
PC: 0x0000000080000338, INSTR: 0xff0c1c37, REG x24: 0xffffffffff0c1000
PC: 0x000000008000033c, INSTR: 0x79bc0c1b, REG x24: 0xffffffffff0c179b
PC: 0x0000000080000340, INSTR: 0x00dc1c13, REG x24: 0xffffffe182f36000
