PC: 0x00000000800001f8, INSTR: 0x00c69693, REG x13: 0x6d0f9834f1dd9000
PC: 0x00000000800001fc, INSTR: 0x77868693, REG x13: 0x6d0f9834f1dd9778
PC: 0x0000000080000200, INSTR: 0x001b0737, REG x14: 0x00000000001b0000
PC: 0x0000000080000204, INSTR: 0x9177071b, REG x14: 0x00000000001af917
PC: 0x0000000080000208, INSTR: 0x00e71713, REG x14: 0x00000006be45c000
PC: 0x000000008000020c, INSTR: 0x22970713, REG x14: 0x00000006be45c229
PC: 0x0000000080000210, INSTR: 0x00e71713, REG x14: 0x0001af91708a4000
PC: 0x0000000080000214, INSTR: 0x6c370713, REG x14: 0x0001af91708a46c3
PC: 0x0000000080000218, INSTR: 0x00c71713, REG x14: 0x1af91708a46c3000
PC: 0x000000008000021c, INSTR: 0x5fd70713, REG x14: 0x1af91708a46c35fd
PC: 0x0000000080000220, INSTR: 0xb33697b7, REG x15: 0xffffffffb3369000
PC: 0x0000000080000224, INSTR: 0x00279793, REG x15: 0xfffffffeccda4000
PC: 0x0000000080000228, INSTR: 0x88578793, REG x15: 0xfffffffeccda3885
PC: 0x000000008000022c, INSTR: 0x00c79793, REG x15: 0xffffeccda3885000
PC: 0x0000000080000230, INSTR: 0x52178793, REG x15: 0xffffeccda3885521
PC: 0x0000000080000234, INSTR: 0x00f79793, REG x15: 0xf666d1c42a908000
PC: 0x0000000080000238, INSTR: 0x1f678793, REG x15: 0xf666d1c42a9081f6
PC: 0x000000008000023c, INSTR: 0x03da2837, REG x16: 0x0000000003da2000
PC: 0x0000000080000240, INSTR: 0x3778081b, REG x16: 0x0000000003da2377
PC: 0x0000000080000244, INSTR: 0x00c81813, REG x16: 0x0000003da2377000
PC: 0x0000000080000248, INSTR: 0x76380813, REG x16: 0x0000003da2377763
PC: 0x000000008000024c, INSTR: 0x00d81813, REG x16: 0x0007b446eeec6000
PC: 0x0000000080000250, INSTR: 0x5fb80813, REG x16: 0x0007b446eeec65fb
PC: 0x0000000080000254, INSTR: 0x00c81813, REG x16: 0x7b446eeec65fb000
PC: 0x0000000080000258, INSTR: 0x52680813, REG x16: 0x7b446eeec65fb526
PC: 0x000000008000025c, INSTR: 0xff9588b7, REG x17: 0xffffffffff958000
PC: 0x0000000080000260, INSTR: 0x16d8889b, REG x17: 0xffffffffff95816d
PC: 0x0000000080000264, INSTR: 0x00d89893, REG x17: 0xfffffff2b02da000
PC: 0x0000000080000268, INSTR: 0xa3588893, REG x17: 0xfffffff2b02d9a35
PC: 0x000000008000026c, INSTR: 0x00d89893, REG x17: 0xfffe5605b346a000
PC: 0x0000000080000270, INSTR: 0x1f188893, REG x17: 0xfffe5605b346a1f1
PC: 0x0000000080000274, INSTR: 0x00e89893, REG x17: 0x95816cd1a87c4000
PC: 0x0000000080000278, INSTR: 0x89f88893, REG x17: 0x95816cd1a87c389f
PC: 0x000000008000027c, INSTR: 0x03302937, REG x18: 0x0000000003302000
PC: 0x0000000080000280, INSTR: 0x1119091b, REG x18: 0x0000000003302111
PC: 0x0000000080000284, INSTR: 0x00c91913, REG x18: 0x0000003302111000
PC: 0x0000000080000288, INSTR: 0xb4790913, REG x18: 0x0000003302110b47
PC: 0x000000008000028c, INSTR: 0x00c91913, REG x18: 0x0003302110b47000
PC: 0x0000000080000290, INSTR: 0x72590913, REG x18: 0x0003302110b47725
PC: 0x0000000080000294, INSTR: 0x00d91913, REG x18: 0x660422168ee4a000
