PC: 0x0000000080000180, INSTR: 0x00c49493, REG x9: 0x8d00f652095a9000
PC: 0x0000000080000184, INSTR: 0xc7248493, REG x9: 0x8d00f652095a8c72
PC: 0x0000000080000188, INSTR: 0xffa4e537, REG x10: 0xffffffffffa4e000
PC: 0x000000008000018c, INSTR: 0xef15051b, REG x10: 0xffffffffffa4def1
PC: 0x0000000080000190, INSTR: 0x00d51513, REG x10: 0xfffffff49bde2000
PC: 0x0000000080000194, INSTR: 0x6a950513, REG x10: 0xfffffff49bde26a9
PC: 0x0000000080000198, INSTR: 0x00c51513, REG x10: 0xffff49bde26a9000
PC: 0x000000008000019c, INSTR: 0x78550513, REG x10: 0xffff49bde26a9785
PC: 0x00000000800001a0, INSTR: 0x00d51513, REG x10: 0xe937bc4d52f0a000
PC: 0x00000000800001a4, INSTR: 0xe0c50513, REG x10: 0xe937bc4d52f09e0c
PC: 0x00000000800001a8, INSTR: 0xffc735b7, REG x11: 0xffffffffffc73000
PC: 0x00000000800001ac, INSTR: 0x2575859b, REG x11: 0xffffffffffc73257
PC: 0x00000000800001b0, INSTR: 0x00f59593, REG x11: 0xffffffe3992b8000
PC: 0x00000000800001b4, INSTR: 0xc3158593, REG x11: 0xffffffe3992b7c31
PC: 0x00000000800001b8, INSTR: 0x00c59593, REG x11: 0xfffe3992b7c31000
PC: 0x00000000800001bc, INSTR: 0x5d358593, REG x11: 0xfffe3992b7c315d3
PC: 0x00000000800001c0, INSTR: 0x00e59593, REG x11: 0x8e64adf0c574c000
PC: 0x00000000800001c4, INSTR: 0xa9f58593, REG x11: 0x8e64adf0c574ba9f
PC: 0x00000000800001c8, INSTR: 0xfe745637, REG x12: 0xfffffffffe745000
PC: 0x00000000800001cc, INSTR: 0x3f16061b, REG x12: 0xfffffffffe7453f1
PC: 0x00000000800001d0, INSTR: 0x00d61613, REG x12: 0xffffffce8a7e2000
PC: 0x00000000800001d4, INSTR: 0xb4760613, REG x12: 0xffffffce8a7e1b47
PC: 0x00000000800001d8, INSTR: 0x00c61613, REG x12: 0xfffce8a7e1b47000
PC: 0x00000000800001dc, INSTR: 0x14f60613, REG x12: 0xfffce8a7e1b4714f
PC: 0x00000000800001e0, INSTR: 0x00c61613, REG x12: 0xce8a7e1b4714f000
PC: 0x00000000800001e4, INSTR: 0x10660613, REG x12: 0xce8a7e1b4714f106
PC: 0x00000000800001e8, INSTR: 0xffd866b7, REG x13: 0xffffffffffd86000
PC: 0x00000000800001ec, INSTR: 0xa996869b, REG x13: 0xffffffffffd85a99
PC: 0x00000000800001f0, INSTR: 0x00d69693, REG x13: 0xfffffffb0b532000
PC: 0x00000000800001f4, INSTR: 0x72d68693, REG x13: 0xfffffffb0b53272d
PC: 0x00000000800001f8, INSTR: 0x00d69693, REG x13: 0xffff616a64e5a000
PC: 0x00000000800001fc, INSTR: 0xfed68693, REG x13: 0xffff616a64e59fed
PC: 0x0000000080000200, INSTR: 0x00f69693, REG x13: 0xb0b53272cff68000
PC: 0x0000000080000204, INSTR: 0x57668693, REG x13: 0xb0b53272cff68576
PC: 0x0000000080000208, INSTR: 0x9dd19737, REG x14: 0xffffffff9dd19000
PC: 0x000000008000020c, INSTR: 0x00271713, REG x14: 0xfffffffe77464000
PC: 0x0000000080000210, INSTR: 0xd2370713, REG x14: 0xfffffffe77463d23
PC: 0x0000000080000214, INSTR: 0x00e71713, REG x14: 0xffff9dd18f48c000
PC: 0x0000000080000218, INSTR: 0x83b70713, REG x14: 0xffff9dd18f48b83b
PC: 0x000000008000021c, INSTR: 0x00f71713, REG x14: 0xcee8c7a45c1d8000
PC: 0x0000000080000220, INSTR: 0xb8370713, REG x14: 0xcee8c7a45c1d7b83
PC: 0x0000000080000224, INSTR: 0x9add17b7, REG x15: 0xffffffff9add1000
PC: 0x0000000080000228, INSTR: 0x81f7879b, REG x15: 0xffffffff9add081f
PC: 0x000000008000022c, INSTR: 0x00c79793, REG x15: 0xfffff9add081f000
PC: 0x0000000080000230, INSTR: 0xeaf78793, REG x15: 0xfffff9add081eeaf
PC: 0x0000000080000234, INSTR: 0x00c79793, REG x15: 0xff9add081eeaf000
PC: 0x0000000080000238, INSTR: 0x76b78793, REG x15: 0xff9add081eeaf76b
PC: 0x000000008000023c, INSTR: 0x00479793, REG x15: 0xf9add081eeaf76b0
PC: 0x0000000080000240, INSTR: 0xfff29837, REG x16: 0xfffffffffff29000
PC: 0x0000000080000244, INSTR: 0xb9f8081b, REG x16: 0xfffffffffff28b9f
PC: 0x0000000080000248, INSTR: 0x00c81813, REG x16: 0xffffffff28b9f000
PC: 0x000000008000024c, INSTR: 0x5cb80813, REG x16: 0xffffffff28b9f5cb
PC: 0x0000000080000250, INSTR: 0x01081813, REG x16: 0xffff28b9f5cb0000
PC: 0x0000000080000254, INSTR: 0x17380813, REG x16: 0xffff28b9f5cb0173
PC: 0x0000000080000258, INSTR: 0x00c81813, REG x16: 0xf28b9f5cb0173000
PC: 0x000000008000025c, INSTR: 0x2af80813, REG x16: 0xf28b9f5cb01732af
PC: 0x0000000080000260, INSTR: 0x027818b7, REG x17: 0x0000000002781000
PC: 0x0000000080000264, INSTR: 0xce98889b, REG x17: 0x0000000002780ce9
PC: 0x0000000080000268, INSTR: 0x00d89893, REG x17: 0x0000004f019d2000
PC: 0x000000008000026c, INSTR: 0x1d988893, REG x17: 0x0000004f019d21d9
PC: 0x0000000080000270, INSTR: 0x00c89893, REG x17: 0x0004f019d21d9000
PC: 0x0000000080000274, INSTR: 0x61588893, REG x17: 0x0004f019d21d9615
PC: 0x0000000080000278, INSTR: 0x00c89893, REG x17: 0x4f019d21d9615000
PC: 0x000000008000027c, INSTR: 0xdc388893, REG x17: 0x4f019d21d9614dc3
PC: 0x0000000080000280, INSTR: 0x02113937, REG x18: 0x0000000002113000
PC: 0x0000000080000284, INSTR: 0x3559091b, REG x18: 0x0000000002113355
PC: 0x0000000080000288, INSTR: 0x00c91913, REG x18: 0x0000002113355000
PC: 0x000000008000028c, INSTR: 0x3ff90913, REG x18: 0x00000021133553ff
PC: 0x0000000080000290, INSTR: 0x00c91913, REG x18: 0x00021133553ff000
PC: 0x0000000080000294, INSTR: 0x48590913, REG x18: 0x00021133553ff485
PC: 0x0000000080000298, INSTR: 0x00c91913, REG x18: 0x21133553ff485000
PC: 0x000000008000029c, INSTR: 0x97390913, REG x18: 0x21133553ff484973
PC: 0x00000000800002a0, INSTR: 0xeac5f9b7, REG x19: 0xffffffffeac5f000
PC: 0x00000000800002a4, INSTR: 0xae59899b, REG x19: 0xffffffffeac5eae5
PC: 0x00000000800002a8, INSTR: 0x01099993, REG x19: 0xffffeac5eae50000
PC: 0x00000000800002ac, INSTR: 0x91398993, REG x19: 0xffffeac5eae4f913
PC: 0x00000000800002b0, INSTR: 0x00e99993, REG x19: 0xfab17ab93e44c000
PC: 0x00000000800002b4, INSTR: 0x80098993, REG x19: 0xfab17ab93e44b800
PC: 0x00000000800002b8, INSTR: 0xb2b98993, REG x19: 0xfab17ab93e44b32b
PC: 0x00000000800002bc, INSTR: 0xb9802a37, REG x20: 0xffffffffb9802000
PC: 0x00000000800002c0, INSTR: 0x56fa0a1b, REG x20: 0xffffffffb980256f
PC: 0x00000000800002c4, INSTR: 0x00da1a13, REG x20: 0xfffff73004ade000
PC: 0x00000000800002c8, INSTR: 0x79da0a13, REG x20: 0xfffff73004ade79d
PC: 0x00000000800002cc, INSTR: 0x00fa1a13, REG x20: 0xfb980256f3ce8000
PC: 0x00000000800002d0, INSTR: 0x9a1a0a13, REG x20: 0xfb980256f3ce79a1
PC: 0x00000000800002d4, INSTR: 0x003a1a13, REG x20: 0xdcc012b79e73cd08
PC: 0x00000000800002d8, INSTR: 0x02fe5ab7, REG x21: 0x0000000002fe5000
PC: 0x00000000800002dc, INSTR: 0x945a8a9b, REG x21: 0x0000000002fe4945
PC: 0x00000000800002e0, INSTR: 0x00ca9a93, REG x21: 0x0000002fe4945000
PC: 0x00000000800002e4, INSTR: 0x0c9a8a93, REG x21: 0x0000002fe49450c9
PC: 0x00000000800002e8, INSTR: 0x00ca9a93, REG x21: 0x0002fe49450c9000
PC: 0x00000000800002ec, INSTR: 0x2dba8a93, REG x21: 0x0002fe49450c92db
PC: 0x00000000800002f0, INSTR: 0x00da9a93, REG x21: 0x5fc928a1925b6000
PC: 0x00000000800002f4, INSTR: 0x892a8a93, REG x21: 0x5fc928a1925b5892
PC: 0x00000000800002f8, INSTR: 0x01282b37, REG x22: 0x0000000001282000
PC: 0x00000000800002fc, INSTR: 0x8f5b0b1b, REG x22: 0x00000000012818f5
PC: 0x0000000080000300, INSTR: 0x00cb1b13, REG x22: 0x00000012818f5000
PC: 0x0000000080000304, INSTR: 0xd4bb0b13, REG x22: 0x00000012818f4d4b
PC: 0x0000000080000308, INSTR: 0x00eb1b13, REG x22: 0x0004a063d352c000
PC: 0x000000008000030c, INSTR: 0xd5bb0b13, REG x22: 0x0004a063d352bd5b
PC: 0x0000000080000310, INSTR: 0x00cb1b13, REG x22: 0x4a063d352bd5b000
PC: 0x0000000080000314, INSTR: 0xd74b0b13, REG x22: 0x4a063d352bd5ad74
PC: 0x0000000080000318, INSTR: 0x414ebbb7, REG x23: 0x00000000414eb000
PC: 0x000000008000031c, INSTR: 0x831b8b9b, REG x23: 0x00000000414ea831
PC: 0x0000000080000320, INSTR: 0x00cb9b93, REG x23: 0x00000414ea831000
PC: 0x0000000080000324, INSTR: 0xc77b8b93, REG x23: 0x00000414ea830c77
PC: 0x0000000080000328, INSTR: 0x010b9b93, REG x23: 0x0414ea830c770000
PC: 0x000000008000032c, INSTR: 0x41eb8b93, REG x23: 0x0414ea830c77041e
PC: 0x0000000080000330, INSTR: 0x006ddc37, REG x24: 0x00000000006dd000
PC: 0x0000000080000334, INSTR: 0xc69c0c1b, REG x24: 0x00000000006dcc69
PC: 0x0000000080000338, INSTR: 0x00ec1c13, REG x24: 0x0000001b731a4000
PC: 0x000000008000033c, INSTR: 0x7d5c0c13, REG x24: 0x0000001b731a47d5
PC: 0x0000000080000340, INSTR: 0x00cc1c13, REG x24: 0x0001b731a47d5000
PC: 0x0000000080000344, INSTR: 0xf95c0c13, REG x24: 0x0001b731a47d4f95
PC: 0x0000000080000348, INSTR: 0x00ec1c13, REG x24: 0x6dcc691f53e54000
PC: 0x000000008000034c, INSTR: 0x678c0c13, REG x24: 0x6dcc691f53e54678
PC: 0x0000000080000350, INSTR: 0x03361cb7, REG x25: 0x0000000003361000
PC: 0x0000000080000354, INSTR: 0xb79c8c9b, REG x25: 0x0000000003360b79
PC: 0x0000000080000358, INSTR: 0x00cc9c93, REG x25: 0x0000003360b79000
PC: 0x000000008000035c, INSTR: 0xcedc8c93, REG x25: 0x0000003360b78ced
PC: 0x0000000080000360, INSTR: 0x00dc9c93, REG x25: 0x00066c16f19da000
PC: 0x0000000080000364, INSTR: 0xda9c8c93, REG x25: 0x00066c16f19d9da9
PC: 0x0000000080000368, INSTR: 0x00cc9c93, REG x25: 0x66c16f19d9da9000
PC: 0x000000008000036c, INSTR: 0xc0ac8c93, REG x25: 0x66c16f19d9da8c0a
PC: 0x0000000080000370, INSTR: 0x00a25d37, REG x26: 0x0000000000a25000
PC: 0x0000000080000374, INSTR: 0x5e5d0d1b, REG x26: 0x0000000000a255e5
PC: 0x0000000080000378, INSTR: 0x00cd1d13, REG x26: 0x0000000a255e5000
PC: 0x000000008000037c, INSTR: 0x4a5d0d13, REG x26: 0x0000000a255e54a5
PC: 0x0000000080000380, INSTR: 0x00cd1d13, REG x26: 0x0000a255e54a5000
PC: 0x0000000080000384, INSTR: 0x023d0d13, REG x26: 0x0000a255e54a5023
PC: 0x0000000080000388, INSTR: 0x00dd1d13, REG x26: 0x144abca94a046000
PC: 0x000000008000038c, INSTR: 0x85dd0d13, REG x26: 0x144abca94a04585d
PC: 0x0000000080000390, INSTR: 0xffd71db7, REG x27: 0xffffffffffd71000
PC: 0x0000000080000394, INSTR: 0xae7d8d9b, REG x27: 0xffffffffffd70ae7
PC: 0x0000000080000398, INSTR: 0x00cd9d93, REG x27: 0xfffffffd70ae7000
PC: 0x000000008000039c, INSTR: 0x677d8d93, REG x27: 0xfffffffd70ae7677
PC: 0x00000000800003a0, INSTR: 0x00fd9d93, REG x27: 0xfffeb8573b3b8000
PC: 0x00000000800003a4, INSTR: 0x639d8d93, REG x27: 0xfffeb8573b3b8639
PC: 0x00000000800003a8, INSTR: 0x00cd9d93, REG x27: 0xeb8573b3b8639000
PC: 0x00000000800003ac, INSTR: 0xb79d8d93, REG x27: 0xeb8573b3b8638b79
PC: 0x00000000800003b0, INSTR: 0x88851e37, REG x28: 0xffffffff88851000
PC: 0x00000000800003b4, INSTR: 0x004e1e13, REG x28: 0xfffffff888510000
PC: 0x00000000800003b8, INSTR: 0x77be0e13, REG x28: 0xfffffff88851077b
PC: 0x00000000800003bc, INSTR: 0x00de1e13, REG x28: 0xffff110a20ef6000
PC: 0x00000000800003c0, INSTR: 0xf51e0e13, REG x28: 0xffff110a20ef5f51
PC: 0x00000000800003c4, INSTR: 0x00de1e13, REG x28: 0xe221441debea2000
PC: 0x00000000800003c8, INSTR: 0x439e0e13, REG x28: 0xe221441debea2439
PC: 0x00000000800003cc, INSTR: 0xf8d6beb7, REG x29: 0xfffffffff8d6b000
PC: 0x00000000800003d0, INSTR: 0x3e9e8e9b, REG x29: 0xfffffffff8d6b3e9
PC: 0x00000000800003d4, INSTR: 0x00ce9e93, REG x29: 0xffffff8d6b3e9000
PC: 0x00000000800003d8, INSTR: 0x2d1e8e93, REG x29: 0xffffff8d6b3e92d1
PC: 0x00000000800003dc, INSTR: 0x00ce9e93, REG x29: 0xfff8d6b3e92d1000
PC: 0x00000000800003e0, INSTR: 0xb77e8e93, REG x29: 0xfff8d6b3e92d0b77
PC: 0x00000000800003e4, INSTR: 0x00ce9e93, REG x29: 0x8d6b3e92d0b77000
PC: 0x00000000800003e8, INSTR: 0x35de8e93, REG x29: 0x8d6b3e92d0b7735d
PC: 0x00000000800003ec, INSTR: 0x001bef37, REG x30: 0x00000000001be000
PC: 0x00000000800003f0, INSTR: 0x7c5f0f1b, REG x30: 0x00000000001be7c5
PC: 0x00000000800003f4, INSTR: 0x00df1f13, REG x30: 0x000000037cf8a000
PC: 0x00000000800003f8, INSTR: 0xad7f0f13, REG x30: 0x000000037cf89ad7
PC: 0x00000000800003fc, INSTR: 0x00df1f13, REG x30: 0x00006f9f135ae000
PC: 0x0000000080000400, INSTR: 0xa15f0f13, REG x30: 0x00006f9f135ada15
PC: 0x0000000080000404, INSTR: 0x00df1f13, REG x30: 0x0df3e26b5b42a000
PC: 0x0000000080000408, INSTR: 0x944f0f13, REG x30: 0x0df3e26b5b429944
PC: 0x000000008000040c, INSTR: 0x002fcfb7, REG x31: 0x00000000002fc000
PC: 0x0000000080000410, INSTR: 0x23df8f9b, REG x31: 0x00000000002fc23d
PC: 0x0000000080000414, INSTR: 0x00cf9f93, REG x31: 0x00000002fc23d000
PC: 0x0000000080000418, INSTR: 0x1f5f8f93, REG x31: 0x00000002fc23d1f5
PC: 0x000000008000041c, INSTR: 0x00df9f93, REG x31: 0x00005f847a3ea000
PC: 0x0000000080000420, INSTR: 0xd17f8f93, REG x31: 0x00005f847a3e9d17
PC: 0x0000000080000424, INSTR: 0x00ff9f93, REG x31: 0x2fc23d1f4e8b8000
PC: 0x0000000080000428, INSTR: 0x973f8f93, REG x31: 0x2fc23d1f4e8b7973
PC: 0x000000008000042c, INSTR: 0x01cfdf3b, REG x30: 0x0000000000000027
PC: 0x0000000080000430, INSTR: 0x00282cb3, REG x25: 0x0000000000000001
PC: 0x0000000080000434, INSTR: 0x0116d1bb, REG x3: 0x0000000019fed0ae
PC: 0x0000000080000438, INSTR: 0x00080537, REG x10: 0x0000000000080000
PC: 0x000000008000043c, INSTR: 0x0495051b, REG x10: 0x0000000000080049
PC: 0x0000000080000440, INSTR: 0x00c51513, REG x10: 0x0000000080049000
PC: 0x0000000080000444, INSTR: 0xd7f50513, REG x10: 0x0000000080048d7f
PC: 0x0000000080000448, INSTR: 0xebd56b83, REG x23: 0x0000000000000000, MEM 0x0000000080048c3c
PC: 0x000000008000044c, INSTR: 0x019f50bb, REG x1: 0x0000000000000013
PC: 0x0000000080000450, INSTR: 0x41e85f3b, REG x30: 0xffffffffff602e65
PC: 0x0000000080000454, INSTR: 0x2000db37, REG x22: 0x000000002000d000
PC: 0x0000000080000458, INSTR: 0x002b1b13, REG x22: 0x0000000080034000
