PC: 0x000000008000027c, INSTR: 0xe9788893, REG x17: 0xfffe61401fa7be97
PC: 0x0000000080000280, INSTR: 0x00d89893, REG x17: 0xcc2803f4f7d2e000
PC: 0x0000000080000284, INSTR: 0x35788893, REG x17: 0xcc2803f4f7d2e357
PC: 0x0000000080000288, INSTR: 0xfdc2f937, REG x18: 0xfffffffffdc2f000
PC: 0x000000008000028c, INSTR: 0x9759091b, REG x18: 0xfffffffffdc2e975
PC: 0x0000000080000290, INSTR: 0x00c91913, REG x18: 0xffffffdc2e975000
PC: 0x0000000080000294, INSTR: 0x08390913, REG x18: 0xffffffdc2e975083
PC: 0x0000000080000298, INSTR: 0x00c91913, REG x18: 0xfffdc2e975083000
PC: 0x000000008000029c, INSTR: 0xa4b90913, REG x18: 0xfffdc2e975082a4b
PC: 0x00000000800002a0, INSTR: 0x00d91913, REG x18: 0xb85d2ea105496000
PC: 0x00000000800002a4, INSTR: 0x2f190913, REG x18: 0xb85d2ea1054962f1
PC: 0x00000000800002a8, INSTR: 0x007729b7, REG x19: 0x0000000000772000
PC: 0x00000000800002ac, INSTR: 0x6479899b, REG x19: 0x0000000000772647
PC: 0x00000000800002b0, INSTR: 0x00d99993, REG x19: 0x0000000ee4c8e000
PC: 0x00000000800002b4, INSTR: 0xde598993, REG x19: 0x0000000ee4c8dde5
PC: 0x00000000800002b8, INSTR: 0x00d99993, REG x19: 0x0001dc991bbca000
PC: 0x00000000800002bc, INSTR: 0x0ef98993, REG x19: 0x0001dc991bbca0ef
PC: 0x00000000800002c0, INSTR: 0x00c99993, REG x19: 0x1dc991bbca0ef000
PC: 0x00000000800002c4, INSTR: 0x8cd98993, REG x19: 0x1dc991bbca0ee8cd
PC: 0x00000000800002c8, INSTR: 0x01690a37, REG x20: 0x0000000001690000
PC: 0x00000000800002cc, INSTR: 0x3cfa0a1b, REG x20: 0x00000000016903cf
PC: 0x00000000800002d0, INSTR: 0x00ca1a13, REG x20: 0x00000016903cf000
PC: 0x00000000800002d4, INSTR: 0xd0fa0a13, REG x20: 0x00000016903ced0f
PC: 0x00000000800002d8, INSTR: 0x00da1a13, REG x20: 0x0002d2079da1e000
PC: 0x00000000800002dc, INSTR: 0xa2da0a13, REG x20: 0x0002d2079da1da2d
PC: 0x00000000800002e0, INSTR: 0x00da1a13, REG x20: 0x5a40f3b43b45a000
PC: 0x00000000800002e4, INSTR: 0x281a0a13, REG x20: 0x5a40f3b43b45a281
PC: 0x00000000800002e8, INSTR: 0x01a4eab7, REG x21: 0x0000000001a4e000
PC: 0x00000000800002ec, INSTR: 0x87ba8a9b, REG x21: 0x0000000001a4d87b
PC: 0x00000000800002f0, INSTR: 0x00da9a93, REG x21: 0x000000349b0f6000
PC: 0x00000000800002f4, INSTR: 0xeb9a8a93, REG x21: 0x000000349b0f5eb9
PC: 0x00000000800002f8, INSTR: 0x00ca9a93, REG x21: 0x000349b0f5eb9000
PC: 0x00000000800002fc, INSTR: 0x067a8a93, REG x21: 0x000349b0f5eb9067
PC: 0x0000000080000300, INSTR: 0x00ca9a93, REG x21: 0x349b0f5eb9067000
PC: 0x0000000080000304, INSTR: 0xd21a8a93, REG x21: 0x349b0f5eb9066d21
PC: 0x0000000080000308, INSTR: 0xffe57b37, REG x22: 0xffffffffffe57000
PC: 0x000000008000030c, INSTR: 0x3b1b0b1b, REG x22: 0xffffffffffe573b1
PC: 0x0000000080000310, INSTR: 0x00cb1b13, REG x22: 0xfffffffe573b1000
PC: 0x0000000080000314, INSTR: 0x797b0b13, REG x22: 0xfffffffe573b1797
PC: 0x0000000080000318, INSTR: 0x011b1b13, REG x22: 0xfffcae762f2e0000
PC: 0x000000008000031c, INSTR: 0x8e9b0b13, REG x22: 0xfffcae762f2df8e9
PC: 0x0000000080000320, INSTR: 0x00db1b13, REG x22: 0x95cec5e5bf1d2000
PC: 0x0000000080000324, INSTR: 0x873b0b13, REG x22: 0x95cec5e5bf1d1873
PC: 0x0000000080000328, INSTR: 0xff9eebb7, REG x23: 0xffffffffff9ee000
PC: 0x000000008000032c, INSTR: 0x6efb8b9b, REG x23: 0xffffffffff9ee6ef
PC: 0x0000000080000330, INSTR: 0x00db9b93, REG x23: 0xfffffff3dcdde000
PC: 0x0000000080000334, INSTR: 0xf67b8b93, REG x23: 0xfffffff3dcdddf67
PC: 0x0000000080000338, INSTR: 0x00eb9b93, REG x23: 0xfffcf73777d9c000
PC: 0x000000008000033c, INSTR: 0x335b8b93, REG x23: 0xfffcf73777d9c335
PC: 0x0000000080000340, INSTR: 0x00cb9b93, REG x23: 0xcf73777d9c335000
PC: 0x0000000080000344, INSTR: 0xed8b8b93, REG x23: 0xcf73777d9c334ed8
PC: 0x0000000080000348, INSTR: 0xfcf77c37, REG x24: 0xfffffffffcf77000
PC: 0x000000008000034c, INSTR: 0x49fc0c1b, REG x24: 0xfffffffffcf7749f
PC: 0x0000000080000350, INSTR: 0x00dc1c13, REG x24: 0xffffff9eee93e000
PC: 0x0000000080000354, INSTR: 0x27fc0c13, REG x24: 0xffffff9eee93e27f
PC: 0x0000000080000358, INSTR: 0x00cc1c13, REG x24: 0xfff9eee93e27f000
PC: 0x000000008000035c, INSTR: 0xc91c0c13, REG x24: 0xfff9eee93e27ec91
PC: 0x0000000080000360, INSTR: 0x00cc1c13, REG x24: 0x9eee93e27ec91000
PC: 0x0000000080000364, INSTR: 0x716c0c13, REG x24: 0x9eee93e27ec91716
PC: 0x0000000080000368, INSTR: 0x01acecb7, REG x25: 0x0000000001ace000
PC: 0x000000008000036c, INSTR: 0xcbfc8c9b, REG x25: 0x0000000001acdcbf
PC: 0x0000000080000370, INSTR: 0x00cc9c93, REG x25: 0x0000001acdcbf000
PC: 0x0000000080000374, INSTR: 0xdb5c8c93, REG x25: 0x0000001acdcbedb5
PC: 0x0000000080000378, INSTR: 0x00dc9c93, REG x25: 0x000359b97db6a000
PC: 0x000000008000037c, INSTR: 0xe5dc8c93, REG x25: 0x000359b97db69e5d
PC: 0x0000000080000380, INSTR: 0x00cc9c93, REG x25: 0x359b97db69e5d000
PC: 0x0000000080000384, INSTR: 0x79bc8c93, REG x25: 0x359b97db69e5d79b
PC: 0x0000000080000388, INSTR: 0x001afd37, REG x26: 0x00000000001af000
PC: 0x000000008000038c, INSTR: 0x11fd0d1b, REG x26: 0x00000000001af11f
PC: 0x0000000080000390, INSTR: 0x00ed1d13, REG x26: 0x00000006bc47c000
PC: 0x0000000080000394, INSTR: 0x3b7d0d13, REG x26: 0x00000006bc47c3b7
PC: 0x0000000080000398, INSTR: 0x00cd1d13, REG x26: 0x00006bc47c3b7000
PC: 0x000000008000039c, INSTR: 0xef3d0d13, REG x26: 0x00006bc47c3b6ef3
PC: 0x00000000800003a0, INSTR: 0x00dd1d13, REG x26: 0x0d788f876dde6000
PC: 0x00000000800003a4, INSTR: 0x387d0d13, REG x26: 0x0d788f876dde6387
PC: 0x00000000800003a8, INSTR: 0x804f6db7, REG x27: 0xffffffff804f6000
PC: 0x00000000800003ac, INSTR: 0x1b5d8d9b, REG x27: 0xffffffff804f61b5
PC: 0x00000000800003b0, INSTR: 0x00fd9d93, REG x27: 0xffffc027b0da8000
PC: 0x00000000800003b4, INSTR: 0x5ffd8d93, REG x27: 0xffffc027b0da85ff
PC: 0x00000000800003b8, INSTR: 0x00fd9d93, REG x27: 0xe013d86d42ff8000
PC: 0x00000000800003bc, INSTR: 0x9b4d8d93, REG x27: 0xe013d86d42ff79b4
PC: 0x00000000800003c0, INSTR: 0x00732e37, REG x28: 0x0000000000732000
PC: 0x00000000800003c4, INSTR: 0x7bfe0e1b, REG x28: 0x00000000007327bf
PC: 0x00000000800003c8, INSTR: 0x00de1e13, REG x28: 0x0000000e64f7e000
PC: 0x00000000800003cc, INSTR: 0xcd5e0e13, REG x28: 0x0000000e64f7dcd5
PC: 0x00000000800003d0, INSTR: 0x00de1e13, REG x28: 0x0001cc9efb9aa000
PC: 0x00000000800003d4, INSTR: 0xb8fe0e13, REG x28: 0x0001cc9efb9a9b8f
PC: 0x00000000800003d8, INSTR: 0x00de1e13, REG x28: 0x3993df735371e000
PC: 0x00000000800003dc, INSTR: 0x432e0e13, REG x28: 0x3993df735371e432
PC: 0x00000000800003e0, INSTR: 0xfa66eeb7, REG x29: 0xfffffffffa66e000
PC: 0x00000000800003e4, INSTR: 0x79de8e9b, REG x29: 0xfffffffffa66e79d
PC: 0x00000000800003e8, INSTR: 0x00ce9e93, REG x29: 0xffffffa66e79d000
PC: 0x00000000800003ec, INSTR: 0x797e8e93, REG x29: 0xffffffa66e79d797
PC: 0x00000000800003f0, INSTR: 0x00ce9e93, REG x29: 0xfffa66e79d797000
PC: 0x00000000800003f4, INSTR: 0x4cde8e93, REG x29: 0xfffa66e79d7974cd
PC: 0x00000000800003f8, INSTR: 0x00ce9e93, REG x29: 0xa66e79d7974cd000
PC: 0x00000000800003fc, INSTR: 0xa1de8e93, REG x29: 0xa66e79d7974cca1d
PC: 0x0000000080000400, INSTR: 0x0159bf37, REG x30: 0x000000000159b000
PC: 0x0000000080000404, INSTR: 0x685f0f1b, REG x30: 0x000000000159b685
PC: 0x0000000080000408, INSTR: 0x00cf1f13, REG x30: 0x000000159b685000
PC: 0x000000008000040c, INSTR: 0x267f0f13, REG x30: 0x000000159b685267
PC: 0x0000000080000410, INSTR: 0x00cf1f13, REG x30: 0x000159b685267000
PC: 0x0000000080000414, INSTR: 0xd09f0f13, REG x30: 0x000159b685266d09
PC: 0x0000000080000418, INSTR: 0x00ef1f13, REG x30: 0x566da1499b424000
PC: 0x000000008000041c, INSTR: 0xcb3f0f13, REG x30: 0x566da1499b423cb3
PC: 0x0000000080000420, INSTR: 0xff847fb7, REG x31: 0xffffffffff847000
PC: 0x0000000080000424, INSTR: 0x413f8f9b, REG x31: 0xffffffffff847413
PC: 0x0000000080000428, INSTR: 0x00ef9f93, REG x31: 0xffffffe11d04c000
PC: 0x000000008000042c, INSTR: 0x6a9f8f93, REG x31: 0xffffffe11d04c6a9
PC: 0x0000000080000430, INSTR: 0x00cf9f93, REG x31: 0xfffe11d04c6a9000
PC: 0x0000000080000434, INSTR: 0x9f7f8f93, REG x31: 0xfffe11d04c6a89f7
PC: 0x0000000080000438, INSTR: 0x00cf9f93, REG x31: 0xe11d04c6a89f7000
PC: 0x000000008000043c, INSTR: 0x738f8f93, REG x31: 0xe11d04c6a89f7738
PC: 0x0000000080000440, INSTR: 0x00400993, REG x19: 0x0000000000000004
PC: 0x0000000080000444, INSTR: 0x00100293, REG x5: 0x0000000000000001
PC: 0x0000000080000448, INSTR: 0x0040006f
PC: 0x000000008000044c, INSTR: 0x40d80cbb, REG x25: 0x00000000352f2e40
PC: 0x0000000080000450, INSTR: 0x408004bb, REG x9: 0xfffffffffcf13936
PC: 0x0000000080000454, INSTR: 0x42065e13, REG x28: 0x0000000065e2f7e6
PC: 0x0000000080000458, INSTR: 0x40bf85bb, REG x11: 0x000000002c18f1e4
PC: 0x000000008000045c, INSTR: 0x400277b7, REG x15: 0x0000000040027000
PC: 0x0000000080000460, INSTR: 0x00179793, REG x15: 0x000000008004e000
PC: 0x0000000080000464, INSTR: 0xc7b78793, REG x15: 0x000000008004dc7b
PC: 0x0000000080000468, INSTR: 0x7047a6a3, MEM 0x000000008004e388: 0x00000000a3463847
PC: 0x000000008000046c, INSTR: 0x405f86bb, REG x13: 0xffffffffa89f7737
PC: 0x0000000080000470, INSTR: 0x20013537, REG x10: 0x0000000020013000
PC: 0x0000000080000474, INSTR: 0x00251513, REG x10: 0x000000008004c000
PC: 0x0000000080000478, INSTR: 0xecc50513, REG x10: 0x000000008004becc
PC: 0x000000008000047c, INSTR: 0xe9850703, REG x14: 0x0000000000000000, MEM 0x000000008004bd64
PC: 0x0000000080000480, INSTR: 0x0140f733, REG x14: 0x520033a02b408001
PC: 0x0000000080000484, INSTR: 0x40f60fbb, REG x31: 0xffffffffe2f5ed65
PC: 0x0000000080000488, INSTR: 0x411a8b3b, REG x22: 0xffffffffc13389ca
PC: 0x000000008000048c, INSTR: 0xfff98993, REG x19: 0x0000000000000003
