PC: 0x000000008000029c, INSTR: 0xff8629b7, REG x19: 0xffffffffff862000
PC: 0x00000000800002a0, INSTR: 0x18f9899b, REG x19: 0xffffffffff86218f
PC: 0x00000000800002a4, INSTR: 0x00e99993, REG x19: 0xffffffe18863c000
PC: 0x00000000800002a8, INSTR: 0xec598993, REG x19: 0xffffffe18863bec5
PC: 0x00000000800002ac, INSTR: 0x00d99993, REG x19: 0xfffc310c77d8a000
PC: 0x00000000800002b0, INSTR: 0xf9198993, REG x19: 0xfffc310c77d89f91
PC: 0x00000000800002b4, INSTR: 0x00c99993, REG x19: 0xc310c77d89f91000
PC: 0x00000000800002b8, INSTR: 0x20598993, REG x19: 0xc310c77d89f91205
PC: 0x00000000800002bc, INSTR: 0x541d3a37, REG x20: 0x00000000541d3000
PC: 0x00000000800002c0, INSTR: 0x003a1a13, REG x20: 0x00000002a0e98000
PC: 0x00000000800002c4, INSTR: 0xd8da0a13, REG x20: 0x00000002a0e97d8d
PC: 0x00000000800002c8, INSTR: 0x00ca1a13, REG x20: 0x00002a0e97d8d000
PC: 0x00000000800002cc, INSTR: 0x3afa0a13, REG x20: 0x00002a0e97d8d3af
PC: 0x00000000800002d0, INSTR: 0x00fa1a13, REG x20: 0x15074bec69d78000
PC: 0x00000000800002d4, INSTR: 0x3d9a0a13, REG x20: 0x15074bec69d783d9
PC: 0x00000000800002d8, INSTR: 0x001bfab7, REG x21: 0x00000000001bf000
PC: 0x00000000800002dc, INSTR: 0x4ffa8a9b, REG x21: 0x00000000001bf4ff
PC: 0x00000000800002e0, INSTR: 0x00ca9a93, REG x21: 0x00000001bf4ff000
PC: 0x00000000800002e4, INSTR: 0x4c9a8a93, REG x21: 0x00000001bf4ff4c9
PC: 0x00000000800002e8, INSTR: 0x00fa9a93, REG x21: 0x0000dfa7fa648000
PC: 0x00000000800002ec, INSTR: 0xcfba8a93, REG x21: 0x0000dfa7fa647cfb
PC: 0x00000000800002f0, INSTR: 0x00da9a93, REG x21: 0x1bf4ff4c8f9f6000
PC: 0x00000000800002f4, INSTR: 0x8c9a8a93, REG x21: 0x1bf4ff4c8f9f58c9
PC: 0x00000000800002f8, INSTR: 0xf9096b37, REG x22: 0xfffffffff9096000
PC: 0x00000000800002fc, INSTR: 0x527b0b1b, REG x22: 0xfffffffff9096527
PC: 0x0000000080000300, INSTR: 0x00cb1b13, REG x22: 0xffffff9096527000
PC: 0x0000000080000304, INSTR: 0x81bb0b13, REG x22: 0xffffff909652681b
PC: 0x0000000080000308, INSTR: 0x00cb1b13, REG x22: 0xfff909652681b000
PC: 0x000000008000030c, INSTR: 0x0d7b0b13, REG x22: 0xfff909652681b0d7
PC: 0x0000000080000310, INSTR: 0x00cb1b13, REG x22: 0x909652681b0d7000
PC: 0x0000000080000314, INSTR: 0x062b0b13, REG x22: 0x909652681b0d7062
PC: 0x0000000080000318, INSTR: 0xffa87bb7, REG x23: 0xffffffffffa87000
PC: 0x000000008000031c, INSTR: 0xb8bb8b9b, REG x23: 0xffffffffffa86b8b
PC: 0x0000000080000320, INSTR: 0x00cb9b93, REG x23: 0xfffffffa86b8b000
PC: 0x0000000080000324, INSTR: 0x279b8b93, REG x23: 0xfffffffa86b8b279
PC: 0x0000000080000328, INSTR: 0x016b9b93, REG x23: 0xfea1ae2c9e400000
PC: 0x000000008000032c, INSTR: 0x9e9b8b93, REG x23: 0xfea1ae2c9e3ff9e9
PC: 0x0000000080000330, INSTR: 0x005b9b93, REG x23: 0xd435c593c7ff3d20
PC: 0x0000000080000334, INSTR: 0xfd04bc37, REG x24: 0xfffffffffd04b000
PC: 0x0000000080000338, INSTR: 0x5a3c0c1b, REG x24: 0xfffffffffd04b5a3
PC: 0x000000008000033c, INSTR: 0x00cc1c13, REG x24: 0xffffffd04b5a3000
PC: 0x0000000080000340, INSTR: 0x579c0c13, REG x24: 0xffffffd04b5a3579
PC: 0x0000000080000344, INSTR: 0x00cc1c13, REG x24: 0xfffd04b5a3579000
PC: 0x0000000080000348, INSTR: 0x4a3c0c13, REG x24: 0xfffd04b5a35794a3
PC: 0x000000008000034c, INSTR: 0x00dc1c13, REG x24: 0xa096b46af2946000
PC: 0x0000000080000350, INSTR: 0xc23c0c13, REG x24: 0xa096b46af2945c23
PC: 0x0000000080000354, INSTR: 0x0399ccb7, REG x25: 0x000000000399c000
PC: 0x0000000080000358, INSTR: 0x69dc8c9b, REG x25: 0x000000000399c69d
PC: 0x000000008000035c, INSTR: 0x00dc9c93, REG x25: 0x0000007338d3a000
PC: 0x0000000080000360, INSTR: 0x9abc8c93, REG x25: 0x0000007338d399ab
PC: 0x0000000080000364, INSTR: 0x00cc9c93, REG x25: 0x0007338d399ab000
PC: 0x0000000080000368, INSTR: 0x295c8c93, REG x25: 0x0007338d399ab295
PC: 0x000000008000036c, INSTR: 0x00cc9c93, REG x25: 0x7338d399ab295000
PC: 0x0000000080000370, INSTR: 0x21bc8c93, REG x25: 0x7338d399ab29521b
PC: 0x0000000080000374, INSTR: 0x01939d37, REG x26: 0x0000000001939000
PC: 0x0000000080000378, INSTR: 0xfcdd0d1b, REG x26: 0x0000000001938fcd
PC: 0x000000008000037c, INSTR: 0x00cd1d13, REG x26: 0x0000001938fcd000
PC: 0x0000000080000380, INSTR: 0x481d0d13, REG x26: 0x0000001938fcd481
PC: 0x0000000080000384, INSTR: 0x00cd1d13, REG x26: 0x0001938fcd481000
PC: 0x0000000080000388, INSTR: 0xf7bd0d13, REG x26: 0x0001938fcd480f7b
PC: 0x000000008000038c, INSTR: 0x00cd1d13, REG x26: 0x1938fcd480f7b000
PC: 0x0000000080000390, INSTR: 0xff5d0d13, REG x26: 0x1938fcd480f7aff5
PC: 0x0000000080000394, INSTR: 0x04592db7, REG x27: 0x0000000004592000
PC: 0x0000000080000398, INSTR: 0x33dd8d9b, REG x27: 0x000000000459233d
PC: 0x000000008000039c, INSTR: 0x00cd9d93, REG x27: 0x000000459233d000
PC: 0x00000000800003a0, INSTR: 0xa3bd8d93, REG x27: 0x000000459233ca3b
PC: 0x00000000800003a4, INSTR: 0x00cd9d93, REG x27: 0x000459233ca3b000
PC: 0x00000000800003a8, INSTR: 0x58fd8d93, REG x27: 0x000459233ca3b58f
PC: 0x00000000800003ac, INSTR: 0x00cd9d93, REG x27: 0x459233ca3b58f000
PC: 0x00000000800003b0, INSTR: 0xd16d8d93, REG x27: 0x459233ca3b58ed16
PC: 0x00000000800003b4, INSTR: 0xffefce37, REG x28: 0xffffffffffefc000
PC: 0x00000000800003b8, INSTR: 0x2dde0e1b, REG x28: 0xffffffffffefc2dd
PC: 0x00000000800003bc, INSTR: 0x00fe1e13, REG x28: 0xfffffff7e16e8000
PC: 0x00000000800003c0, INSTR: 0xb33e0e13, REG x28: 0xfffffff7e16e7b33
PC: 0x00000000800003c4, INSTR: 0x00ee1e13, REG x28: 0xfffdf85b9eccc000
PC: 0x00000000800003c8, INSTR: 0xdb9e0e13, REG x28: 0xfffdf85b9eccbdb9
PC: 0x00000000800003cc, INSTR: 0x00de1e13, REG x28: 0xbf0b73d997b72000
PC: 0x00000000800003d0, INSTR: 0x8c4e0e13, REG x28: 0xbf0b73d997b718c4
PC: 0x00000000800003d4, INSTR: 0x14bdeeb7, REG x29: 0x0000000014bde000
PC: 0x00000000800003d8, INSTR: 0xee1e8e9b, REG x29: 0x0000000014bddee1
PC: 0x00000000800003dc, INSTR: 0x00ce9e93, REG x29: 0x0000014bddee1000
PC: 0x00000000800003e0, INSTR: 0x477e8e93, REG x29: 0x0000014bddee1477
PC: 0x00000000800003e4, INSTR: 0x012e9e93, REG x29: 0x052f77b851dc0000
PC: 0x00000000800003e8, INSTR: 0xa2de8e93, REG x29: 0x052f77b851dbfa2d
PC: 0x00000000800003ec, INSTR: 0x003e9e93, REG x29: 0x297bbdc28edfd168
PC: 0x00000000800003f0, INSTR: 0x00184f37, REG x30: 0x0000000000184000
PC: 0x00000000800003f4, INSTR: 0x7edf0f1b, REG x30: 0x00000000001847ed
PC: 0x00000000800003f8, INSTR: 0x00ef1f13, REG x30: 0x0000000611fb4000
PC: 0x00000000800003fc, INSTR: 0xefdf0f13, REG x30: 0x0000000611fb3efd
PC: 0x0000000080000400, INSTR: 0x00cf1f13, REG x30: 0x0000611fb3efd000
PC: 0x0000000080000404, INSTR: 0x24df0f13, REG x30: 0x0000611fb3efd24d
PC: 0x0000000080000408, INSTR: 0x010f1f13, REG x30: 0x611fb3efd24d0000
PC: 0x000000008000040c, INSTR: 0xfd3f0f13, REG x30: 0x611fb3efd24cffd3
PC: 0x0000000080000410, INSTR: 0x00b06fb7, REG x31: 0x0000000000b06000
PC: 0x0000000080000414, INSTR: 0xafbf8f9b, REG x31: 0x0000000000b05afb
PC: 0x0000000080000418, INSTR: 0x00ef9f93, REG x31: 0x0000002c16bec000
PC: 0x000000008000041c, INSTR: 0xe0df8f93, REG x31: 0x0000002c16bebe0d
PC: 0x0000000080000420, INSTR: 0x00cf9f93, REG x31: 0x0002c16bebe0d000
PC: 0x0000000080000424, INSTR: 0xa19f8f93, REG x31: 0x0002c16bebe0ca19
PC: 0x0000000080000428, INSTR: 0x00df9f93, REG x31: 0x582d7d7c19432000
PC: 0x000000008000042c, INSTR: 0xf71f8f93, REG x31: 0x582d7d7c19431f71
PC: 0x0000000080000430, INSTR: 0x2805e193, REG x3: 0x2619c9ef76d11e8b
PC: 0x0000000080000434, INSTR: 0x01b01abb, REG x21: 0x0000000000000000
PC: 0x0000000080000438, INSTR: 0x400279b7, REG x19: 0x0000000040027000
PC: 0x000000008000043c, INSTR: 0x00199993, REG x19: 0x000000008004e000
PC: 0x0000000080000440, INSTR: 0x01398993, REG x19: 0x000000008004e013
PC: 0x0000000080000444, INSTR: 0x17b99403, REG x8: 0x0000000000000000, MEM 0x000000008004e18e
PC: 0x0000000080000448, INSTR: 0xba6ab613, REG x12: 0x0000000000000001
PC: 0x000000008000044c, INSTR: 0xee94e893, REG x17: 0xffffffffffffffef
PC: 0x0000000080000450, INSTR: 0x20013237, REG x4: 0x0000000020013000
PC: 0x0000000080000454, INSTR: 0x00221213, REG x4: 0x000000008004c000
PC: 0x0000000080000458, INSTR: 0x39c20213, REG x4: 0x000000008004c39c
PC: 0x000000008000045c, INSTR: 0xe3021303, REG x6: 0x0000000000000000, MEM 0x000000008004c1cc
PC: 0x0000000080000460, INSTR: 0x00080d37, REG x26: 0x0000000000080000
PC: 0x0000000080000464, INSTR: 0x047d0d1b, REG x26: 0x0000000000080047
PC: 0x0000000080000468, INSTR: 0x00cd1d13, REG x26: 0x0000000080047000
PC: 0x000000008000046c, INSTR: 0xe67d0d13, REG x26: 0x0000000080046e67
PC: 0x0000000080000470, INSTR: 0x9c1d1083, REG x1: 0x0000000000000000, MEM 0x0000000080046828
PC: 0x0000000080000474, INSTR: 0x40021737, REG x14: 0x0000000040021000
PC: 0x0000000080000478, INSTR: 0x00171713, REG x14: 0x0000000080042000
PC: 0x000000008000047c, INSTR: 0xe9a70713, REG x14: 0x0000000080041e9a
