PC: 0x000000008000020c, INSTR: 0x00e71713, REG x14: 0xfffd69fd840f4000
PC: 0x0000000080000210, INSTR: 0xa9570713, REG x14: 0xfffd69fd840f3a95
PC: 0x0000000080000214, INSTR: 0x00c71713, REG x14: 0xd69fd840f3a95000
PC: 0x0000000080000218, INSTR: 0xb1e70713, REG x14: 0xd69fd840f3a94b1e
PC: 0x000000008000021c, INSTR: 0x0191b7b7, REG x15: 0x000000000191b000
PC: 0x0000000080000220, INSTR: 0xcc57879b, REG x15: 0x000000000191acc5
PC: 0x0000000080000224, INSTR: 0x00d79793, REG x15: 0x000000323598a000
PC: 0x0000000080000228, INSTR: 0x00178793, REG x15: 0x000000323598a001
PC: 0x000000008000022c, INSTR: 0x00c79793, REG x15: 0x000323598a001000
PC: 0x0000000080000230, INSTR: 0x45978793, REG x15: 0x000323598a001459
PC: 0x0000000080000234, INSTR: 0x00d79793, REG x15: 0x646b3140028b2000
PC: 0x0000000080000238, INSTR: 0x0be78793, REG x15: 0x646b3140028b20be
PC: 0x000000008000023c, INSTR: 0xffd41837, REG x16: 0xffffffffffd41000
PC: 0x0000000080000240, INSTR: 0x2a58081b, REG x16: 0xffffffffffd412a5
PC: 0x0000000080000244, INSTR: 0x00f81813, REG x16: 0xffffffea09528000
PC: 0x0000000080000248, INSTR: 0x5e580813, REG x16: 0xffffffea095285e5
PC: 0x000000008000024c, INSTR: 0x00c81813, REG x16: 0xfffea095285e5000
PC: 0x0000000080000250, INSTR: 0x3b380813, REG x16: 0xfffea095285e53b3
PC: 0x0000000080000254, INSTR: 0x00c81813, REG x16: 0xea095285e53b3000
PC: 0x0000000080000258, INSTR: 0xcb380813, REG x16: 0xea095285e53b2cb3
PC: 0x000000008000025c, INSTR: 0x03e618b7, REG x17: 0x0000000003e61000
PC: 0x0000000080000260, INSTR: 0xa378889b, REG x17: 0x0000000003e60a37
PC: 0x0000000080000264, INSTR: 0x00c89893, REG x17: 0x0000003e60a37000
PC: 0x0000000080000268, INSTR: 0x7c588893, REG x17: 0x0000003e60a377c5
PC: 0x000000008000026c, INSTR: 0x00c89893, REG x17: 0x0003e60a377c5000
PC: 0x0000000080000270, INSTR: 0x41b88893, REG x17: 0x0003e60a377c541b
PC: 0x0000000080000274, INSTR: 0x00c89893, REG x17: 0x3e60a377c541b000
