PC: 0x00000000800001ec, INSTR: 0x01069693, REG x13: 0xffff90a97ddf0000
PC: 0x00000000800001f0, INSTR: 0xdd568693, REG x13: 0xffff90a97ddefdd5
PC: 0x00000000800001f4, INSTR: 0x00d69693, REG x13: 0xf2152fbbdfbaa000
PC: 0x00000000800001f8, INSTR: 0x2c068693, REG x13: 0xf2152fbbdfbaa2c0
PC: 0x00000000800001fc, INSTR: 0x0389a737, REG x14: 0x000000000389a000
PC: 0x0000000080000200, INSTR: 0x3917071b, REG x14: 0x000000000389a391
PC: 0x0000000080000204, INSTR: 0x00d71713, REG x14: 0x0000007134722000
PC: 0x0000000080000208, INSTR: 0x56b70713, REG x14: 0x000000713472256b
PC: 0x000000008000020c, INSTR: 0x00c71713, REG x14: 0x000713472256b000
PC: 0x0000000080000210, INSTR: 0x11370713, REG x14: 0x000713472256b113
PC: 0x0000000080000214, INSTR: 0x00c71713, REG x14: 0x713472256b113000
PC: 0x0000000080000218, INSTR: 0x3ce70713, REG x14: 0x713472256b1133ce
PC: 0x000000008000021c, INSTR: 0xffcbf7b7, REG x15: 0xffffffffffcbf000
PC: 0x0000000080000220, INSTR: 0x4337879b, REG x15: 0xffffffffffcbf433
PC: 0x0000000080000224, INSTR: 0x00d79793, REG x15: 0xfffffff97e866000
PC: 0x0000000080000228, INSTR: 0xce978793, REG x15: 0xfffffff97e865ce9
PC: 0x000000008000022c, INSTR: 0x00d79793, REG x15: 0xffff2fd0cb9d2000
PC: 0x0000000080000230, INSTR: 0x33d78793, REG x15: 0xffff2fd0cb9d233d
PC: 0x0000000080000234, INSTR: 0x00f79793, REG x15: 0x97e865ce919e8000
PC: 0x0000000080000238, INSTR: 0xe2e78793, REG x15: 0x97e865ce919e7e2e
PC: 0x000000008000023c, INSTR: 0x4dc64837, REG x16: 0x000000004dc64000
PC: 0x0000000080000240, INSTR: 0xbef8081b, REG x16: 0x000000004dc63bef
PC: 0x0000000080000244, INSTR: 0x00d81813, REG x16: 0x000009b8c77de000
PC: 0x0000000080000248, INSTR: 0x47380813, REG x16: 0x000009b8c77de473
PC: 0x000000008000024c, INSTR: 0x00f81813, REG x16: 0x04dc63bef2398000
PC: 0x0000000080000250, INSTR: 0xddd80813, REG x16: 0x04dc63bef2397ddd
PC: 0x0000000080000254, INSTR: 0x00381813, REG x16: 0x26e31df791cbeee8
PC: 0x0000000080000258, INSTR: 0xffae48b7, REG x17: 0xffffffffffae4000
PC: 0x000000008000025c, INSTR: 0xb0b8889b, REG x17: 0xffffffffffae3b0b
PC: 0x0000000080000260, INSTR: 0x00c89893, REG x17: 0xfffffffae3b0b000
PC: 0x0000000080000264, INSTR: 0xd1188893, REG x17: 0xfffffffae3b0ad11
PC: 0x0000000080000268, INSTR: 0x00c89893, REG x17: 0xffffae3b0ad11000
PC: 0x000000008000026c, INSTR: 0xd5f88893, REG x17: 0xffffae3b0ad10d5f
PC: 0x0000000080000270, INSTR: 0x00f89893, REG x17: 0xd71d856886af8000
PC: 0x0000000080000274, INSTR: 0x2bc88893, REG x17: 0xd71d856886af82bc
PC: 0x0000000080000278, INSTR: 0xfff2e937, REG x18: 0xfffffffffff2e000
PC: 0x000000008000027c, INSTR: 0xf7b9091b, REG x18: 0xfffffffffff2df7b
PC: 0x0000000080000280, INSTR: 0x00c91913, REG x18: 0xffffffff2df7b000
PC: 0x0000000080000284, INSTR: 0x48990913, REG x18: 0xffffffff2df7b489
PC: 0x0000000080000288, INSTR: 0x00c91913, REG x18: 0xfffff2df7b489000
PC: 0x000000008000028c, INSTR: 0xfad90913, REG x18: 0xfffff2df7b488fad
PC: 0x0000000080000290, INSTR: 0x01091913, REG x18: 0xf2df7b488fad0000
PC: 0x0000000080000294, INSTR: 0x7e290913, REG x18: 0xf2df7b488fad07e2
PC: 0x0000000080000298, INSTR: 0xffd949b7, REG x19: 0xffffffffffd94000
PC: 0x000000008000029c, INSTR: 0xa5b9899b, REG x19: 0xffffffffffd93a5b
PC: 0x00000000800002a0, INSTR: 0x00f99993, REG x19: 0xffffffec9d2d8000
PC: 0x00000000800002a4, INSTR: 0x6f798993, REG x19: 0xffffffec9d2d86f7
PC: 0x00000000800002a8, INSTR: 0x00e99993, REG x19: 0xfffb274b61bdc000
PC: 0x00000000800002ac, INSTR: 0xb5f98993, REG x19: 0xfffb274b61bdbb5f
PC: 0x00000000800002b0, INSTR: 0x00c99993, REG x19: 0xb274b61bdbb5f000
PC: 0x00000000800002b4, INSTR: 0x53798993, REG x19: 0xb274b61bdbb5f537
PC: 0x00000000800002b8, INSTR: 0x93489a37, REG x20: 0xffffffff93489000
PC: 0x00000000800002bc, INSTR: 0xf13a0a1b, REG x20: 0xffffffff93488f13
PC: 0x00000000800002c0, INSTR: 0x00fa1a13, REG x20: 0xffffc9a447898000
PC: 0x00000000800002c4, INSTR: 0xdc9a0a13, REG x20: 0xffffc9a447897dc9
PC: 0x00000000800002c8, INSTR: 0x00ca1a13, REG x20: 0xfc9a447897dc9000
PC: 0x00000000800002cc, INSTR: 0x59ca0a13, REG x20: 0xfc9a447897dc959c
PC: 0x00000000800002d0, INSTR: 0xfe12aab7, REG x21: 0xfffffffffe12a000
PC: 0x00000000800002d4, INSTR: 0xeb9a8a9b, REG x21: 0xfffffffffe129eb9
PC: 0x00000000800002d8, INSTR: 0x00ca9a93, REG x21: 0xffffffe129eb9000
PC: 0x00000000800002dc, INSTR: 0x8e9a8a93, REG x21: 0xffffffe129eb88e9
PC: 0x00000000800002e0, INSTR: 0x00ca9a93, REG x21: 0xfffe129eb88e9000
PC: 0x00000000800002e4, INSTR: 0xbe1a8a93, REG x21: 0xfffe129eb88e8be1
PC: 0x00000000800002e8, INSTR: 0x00ca9a93, REG x21: 0xe129eb88e8be1000
PC: 0x00000000800002ec, INSTR: 0xc6aa8a93, REG x21: 0xe129eb88e8be0c6a
PC: 0x00000000800002f0, INSTR: 0xfd4cfb37, REG x22: 0xfffffffffd4cf000
PC: 0x00000000800002f4, INSTR: 0x69bb0b1b, REG x22: 0xfffffffffd4cf69b
PC: 0x00000000800002f8, INSTR: 0x00cb1b13, REG x22: 0xffffffd4cf69b000
PC: 0x00000000800002fc, INSTR: 0xc97b0b13, REG x22: 0xffffffd4cf69ac97
PC: 0x0000000080000300, INSTR: 0x00db1b13, REG x22: 0xfffa99ed3592e000
PC: 0x0000000080000304, INSTR: 0xe9fb0b13, REG x22: 0xfffa99ed3592de9f
PC: 0x0000000080000308, INSTR: 0x00cb1b13, REG x22: 0xa99ed3592de9f000
PC: 0x000000008000030c, INSTR: 0x61cb0b13, REG x22: 0xa99ed3592de9f61c
PC: 0x0000000080000310, INSTR: 0x03cb4bb7, REG x23: 0x0000000003cb4000
PC: 0x0000000080000314, INSTR: 0xac1b8b9b, REG x23: 0x0000000003cb3ac1
PC: 0x0000000080000318, INSTR: 0x00cb9b93, REG x23: 0x0000003cb3ac1000
PC: 0x000000008000031c, INSTR: 0xef5b8b93, REG x23: 0x0000003cb3ac0ef5
PC: 0x0000000080000320, INSTR: 0x00db9b93, REG x23: 0x0007967581dea000
PC: 0x0000000080000324, INSTR: 0xe39b8b93, REG x23: 0x0007967581de9e39
PC: 0x0000000080000328, INSTR: 0x00cb9b93, REG x23: 0x7967581de9e39000
PC: 0x000000008000032c, INSTR: 0x766b8b93, REG x23: 0x7967581de9e39766
PC: 0x0000000080000330, INSTR: 0xff82ec37, REG x24: 0xffffffffff82e000
PC: 0x0000000080000334, INSTR: 0x531c0c1b, REG x24: 0xffffffffff82e531
PC: 0x0000000080000338, INSTR: 0x00cc1c13, REG x24: 0xfffffff82e531000
PC: 0x000000008000033c, INSTR: 0x569c0c13, REG x24: 0xfffffff82e531569
PC: 0x0000000080000340, INSTR: 0x00cc1c13, REG x24: 0xffff82e531569000
PC: 0x0000000080000344, INSTR: 0x665c0c13, REG x24: 0xffff82e531569665
PC: 0x0000000080000348, INSTR: 0x010c1c13, REG x24: 0x82e5315696650000
PC: 0x000000008000034c, INSTR: 0x43ec0c13, REG x24: 0x82e531569665043e
PC: 0x0000000080000350, INSTR: 0x016d8cb7, REG x25: 0x00000000016d8000
PC: 0x0000000080000354, INSTR: 0x25fc8c9b, REG x25: 0x00000000016d825f
PC: 0x0000000080000358, INSTR: 0x00dc9c93, REG x25: 0x0000002db04be000
PC: 0x000000008000035c, INSTR: 0x853c8c93, REG x25: 0x0000002db04bd853
PC: 0x0000000080000360, INSTR: 0x00cc9c93, REG x25: 0x0002db04bd853000
PC: 0x0000000080000364, INSTR: 0xff1c8c93, REG x25: 0x0002db04bd852ff1
PC: 0x0000000080000368, INSTR: 0x00dc9c93, REG x25: 0x5b6097b0a5fe2000
PC: 0x000000008000036c, INSTR: 0xc63c8c93, REG x25: 0x5b6097b0a5fe1c63
PC: 0x0000000080000370, INSTR: 0xfca66d37, REG x26: 0xfffffffffca66000
PC: 0x0000000080000374, INSTR: 0xcefd0d1b, REG x26: 0xfffffffffca65cef
PC: 0x0000000080000378, INSTR: 0x00dd1d13, REG x26: 0xffffff94cb9de000
PC: 0x000000008000037c, INSTR: 0x2d1d0d13, REG x26: 0xffffff94cb9de2d1
PC: 0x0000000080000380, INSTR: 0x00cd1d13, REG x26: 0xfff94cb9de2d1000
PC: 0x0000000080000384, INSTR: 0x42dd0d13, REG x26: 0xfff94cb9de2d142d
PC: 0x0000000080000388, INSTR: 0x00cd1d13, REG x26: 0x94cb9de2d142d000
PC: 0x000000008000038c, INSTR: 0xcb9d0d13, REG x26: 0x94cb9de2d142ccb9
PC: 0x0000000080000390, INSTR: 0xffdfbdb7, REG x27: 0xffffffffffdfb000
PC: 0x0000000080000394, INSTR: 0x8a1d8d9b, REG x27: 0xffffffffffdfa8a1
PC: 0x0000000080000398, INSTR: 0x00dd9d93, REG x27: 0xfffffffbf5142000
PC: 0x000000008000039c, INSTR: 0x241d8d93, REG x27: 0xfffffffbf5142241
PC: 0x00000000800003a0, INSTR: 0x00dd9d93, REG x27: 0xffff7ea284482000
PC: 0x00000000800003a4, INSTR: 0x29fd8d93, REG x27: 0xffff7ea28448229f
PC: 0x00000000800003a8, INSTR: 0x00dd9d93, REG x27: 0xefd450890453e000
PC: 0x00000000800003ac, INSTR: 0xd59d8d93, REG x27: 0xefd450890453dd59
PC: 0x00000000800003b0, INSTR: 0x02db2e37, REG x28: 0x0000000002db2000
PC: 0x00000000800003b4, INSTR: 0xb71e0e1b, REG x28: 0x0000000002db1b71
PC: 0x00000000800003b8, INSTR: 0x00ce1e13, REG x28: 0x0000002db1b71000
PC: 0x00000000800003bc, INSTR: 0xef9e0e13, REG x28: 0x0000002db1b70ef9
PC: 0x00000000800003c0, INSTR: 0x00ce1e13, REG x28: 0x0002db1b70ef9000
PC: 0x00000000800003c4, INSTR: 0x663e0e13, REG x28: 0x0002db1b70ef9663
PC: 0x00000000800003c8, INSTR: 0x00de1e13, REG x28: 0x5b636e1df2cc6000
PC: 0x00000000800003cc, INSTR: 0xd3de0e13, REG x28: 0x5b636e1df2cc5d3d
