PC: 0x0000000080000228, INSTR: 0x00c71713, REG x14: 0x228154915bcdf000
PC: 0x000000008000022c, INSTR: 0x38370713, REG x14: 0x228154915bcdf383
PC: 0x0000000080000230, INSTR: 0x07b0b7b7, REG x15: 0x0000000007b0b000
PC: 0x0000000080000234, INSTR: 0x7417879b, REG x15: 0x0000000007b0b741
PC: 0x0000000080000238, INSTR: 0x00c79793, REG x15: 0x0000007b0b741000
PC: 0x000000008000023c, INSTR: 0x97978793, REG x15: 0x0000007b0b740979
PC: 0x0000000080000240, INSTR: 0x00c79793, REG x15: 0x0007b0b740979000
PC: 0x0000000080000244, INSTR: 0x4d778793, REG x15: 0x0007b0b7409794d7
PC: 0x0000000080000248, INSTR: 0x00c79793, REG x15: 0x7b0b7409794d7000
PC: 0x000000008000024c, INSTR: 0xa9978793, REG x15: 0x7b0b7409794d6a99
PC: 0x0000000080000250, INSTR: 0x4fdf3837, REG x16: 0x000000004fdf3000
PC: 0x0000000080000254, INSTR: 0x00881813, REG x16: 0x0000004fdf300000
PC: 0x0000000080000258, INSTR: 0x54b80813, REG x16: 0x0000004fdf30054b
PC: 0x000000008000025c, INSTR: 0x00c81813, REG x16: 0x0004fdf30054b000
PC: 0x0000000080000260, INSTR: 0x04b80813, REG x16: 0x0004fdf30054b04b
PC: 0x0000000080000264, INSTR: 0x00c81813, REG x16: 0x4fdf30054b04b000
PC: 0x0000000080000268, INSTR: 0x4f280813, REG x16: 0x4fdf30054b04b4f2
PC: 0x000000008000026c, INSTR: 0x00e2d8b7, REG x17: 0x0000000000e2d000
PC: 0x0000000080000270, INSTR: 0x6a98889b, REG x17: 0x0000000000e2d6a9
PC: 0x0000000080000274, INSTR: 0x00e89893, REG x17: 0x00000038b5aa4000
PC: 0x0000000080000278, INSTR: 0x31188893, REG x17: 0x00000038b5aa4311
PC: 0x000000008000027c, INSTR: 0x00d89893, REG x17: 0x000716b548622000
PC: 0x0000000080000280, INSTR: 0x31b88893, REG x17: 0x000716b54862231b
PC: 0x0000000080000284, INSTR: 0x00c89893, REG x17: 0x716b54862231b000
PC: 0x0000000080000288, INSTR: 0x7b688893, REG x17: 0x716b54862231b7b6
PC: 0x000000008000028c, INSTR: 0x0726c937, REG x18: 0x000000000726c000
PC: 0x0000000080000290, INSTR: 0x7a39091b, REG x18: 0x000000000726c7a3
PC: 0x0000000080000294, INSTR: 0x00c91913, REG x18: 0x000000726c7a3000
PC: 0x0000000080000298, INSTR: 0x51790913, REG x18: 0x000000726c7a3517
PC: 0x000000008000029c, INSTR: 0x00c91913, REG x18: 0x000726c7a3517000
PC: 0x00000000800002a0, INSTR: 0x3d590913, REG x18: 0x000726c7a35173d5
PC: 0x00000000800002a4, INSTR: 0x00c91913, REG x18: 0x726c7a35173d5000
PC: 0x00000000800002a8, INSTR: 0xfe390913, REG x18: 0x726c7a35173d4fe3
PC: 0x00000000800002ac, INSTR: 0xfeffb9b7, REG x19: 0xfffffffffeffb000
PC: 0x00000000800002b0, INSTR: 0xda79899b, REG x19: 0xfffffffffeffada7
PC: 0x00000000800002b4, INSTR: 0x00d99993, REG x19: 0xffffffdff5b4e000
PC: 0x00000000800002b8, INSTR: 0x8af98993, REG x19: 0xffffffdff5b4d8af
PC: 0x00000000800002bc, INSTR: 0x00d99993, REG x19: 0xfffbfeb69b15e000
PC: 0x00000000800002c0, INSTR: 0x6f198993, REG x19: 0xfffbfeb69b15e6f1
PC: 0x00000000800002c4, INSTR: 0x00c99993, REG x19: 0xbfeb69b15e6f1000
PC: 0x00000000800002c8, INSTR: 0xfac98993, REG x19: 0xbfeb69b15e6f0fac
PC: 0x00000000800002cc, INSTR: 0xfa4f9a37, REG x20: 0xfffffffffa4f9000
PC: 0x00000000800002d0, INSTR: 0x517a0a1b, REG x20: 0xfffffffffa4f9517
PC: 0x00000000800002d4, INSTR: 0x00ca1a13, REG x20: 0xffffffa4f9517000
PC: 0x00000000800002d8, INSTR: 0x56fa0a13, REG x20: 0xffffffa4f951756f
PC: 0x00000000800002dc, INSTR: 0x00ca1a13, REG x20: 0xfffa4f951756f000
PC: 0x00000000800002e0, INSTR: 0x961a0a13, REG x20: 0xfffa4f951756e961
PC: 0x00000000800002e4, INSTR: 0x00ca1a13, REG x20: 0xa4f951756e961000
PC: 0x00000000800002e8, INSTR: 0x061a0a13, REG x20: 0xa4f951756e961061
PC: 0x00000000800002ec, INSTR: 0x00db6ab7, REG x21: 0x0000000000db6000
PC: 0x00000000800002f0, INSTR: 0xc69a8a9b, REG x21: 0x0000000000db5c69
PC: 0x00000000800002f4, INSTR: 0x00da9a93, REG x21: 0x0000001b6b8d2000
PC: 0x00000000800002f8, INSTR: 0x759a8a93, REG x21: 0x0000001b6b8d2759
PC: 0x00000000800002fc, INSTR: 0x00ca9a93, REG x21: 0x0001b6b8d2759000
PC: 0x0000000080000300, INSTR: 0x7b9a8a93, REG x21: 0x0001b6b8d27597b9
PC: 0x0000000080000304, INSTR: 0x00ca9a93, REG x21: 0x1b6b8d27597b9000
PC: 0x0000000080000308, INSTR: 0xc0da8a93, REG x21: 0x1b6b8d27597b8c0d
PC: 0x000000008000030c, INSTR: 0x02987b37, REG x22: 0x0000000002987000
PC: 0x0000000080000310, INSTR: 0x68fb0b1b, REG x22: 0x000000000298768f
PC: 0x0000000080000314, INSTR: 0x00cb1b13, REG x22: 0x000000298768f000
PC: 0x0000000080000318, INSTR: 0x6bbb0b13, REG x22: 0x000000298768f6bb
PC: 0x000000008000031c, INSTR: 0x00db1b13, REG x22: 0x000530ed1ed76000
PC: 0x0000000080000320, INSTR: 0x60bb0b13, REG x22: 0x000530ed1ed7660b
PC: 0x0000000080000324, INSTR: 0x00cb1b13, REG x22: 0x530ed1ed7660b000
PC: 0x0000000080000328, INSTR: 0x176b0b13, REG x22: 0x530ed1ed7660b176
PC: 0x000000008000032c, INSTR: 0xffef5bb7, REG x23: 0xffffffffffef5000
PC: 0x0000000080000330, INSTR: 0x655b8b9b, REG x23: 0xffffffffffef5655
PC: 0x0000000080000334, INSTR: 0x00eb9b93, REG x23: 0xfffffffbd5954000
PC: 0x0000000080000338, INSTR: 0x179b8b93, REG x23: 0xfffffffbd5954179
PC: 0x000000008000033c, INSTR: 0x00cb9b93, REG x23: 0xffffbd5954179000
PC: 0x0000000080000340, INSTR: 0x305b8b93, REG x23: 0xffffbd5954179305
PC: 0x0000000080000344, INSTR: 0x00cb9b93, REG x23: 0xfbd5954179305000
PC: 0x0000000080000348, INSTR: 0xc8eb8b93, REG x23: 0xfbd5954179304c8e
PC: 0x000000008000034c, INSTR: 0x02f06c37, REG x24: 0x0000000002f06000
PC: 0x0000000080000350, INSTR: 0x399c0c1b, REG x24: 0x0000000002f06399
PC: 0x0000000080000354, INSTR: 0x00cc1c13, REG x24: 0x0000002f06399000
PC: 0x0000000080000358, INSTR: 0xdd3c0c13, REG x24: 0x0000002f06398dd3
